공장명(국가),차량 모델,판매 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
HMI, Santro (AH2),내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
HMI, Xcent (BA 4DR),내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
HMI, Aura (AI3 4DR),내수용,4634.0,5524.0,3774.0,5085.0,4707.0,4907.0,4514.0,4892.0,3900.0,4096.0,3850.0,3812.0,2023
HMI, NIOS (AI3 5DR),내수용,8760.0,9635.0,9304.0,6839.0,6385.0,6321.0,5337.0,7306.0,5223.0,6552.0,4708.0,5247.0,2023
HMI, i20 (BI3 5DR),내수용,8185.0,9287.0,6596.0,6472.0,6094.0,6162.0,5001.0,4896.0,6481.0,7212.0,5727.0,4574.0,2023
HMI, Verna (Hci),내수용,995.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
HMI, Verna (BN7i),내수용,0.0,0.0,3755.0,4001.0,3687.0,4001.0,2858.0,2576.0,2610.0,2313.0,1701.0,712.0,2023
HMI,Exter (AI3 SUV),내수용,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,7430.0,8647.0,8097.0,8325.0,7514.0,2023
HMI, Venue (QXi),내수용,10738.0,9997.0,10024.0,10342.0,10213.0,11606.0,10062.0,10948.0,12204.0,11581.0,11180.0,10383.0,2023
HMI, Creta (SU2i),내수용,15037.0,10421.0,14026.0,14186.0,14449.0,14447.0,14062.0,13832.0,12717.0,13077.0,11814.0,9243.0,2023
HMI, Creta (SU2i LWB),내수용,1537.0,1559.0,2519.0,2037.0,2443.0,2119.0,1443.0,1493.0,1977.0,1837.0,1913.0,954.0,2023
HMI, Kona EV (OSi EV),내수용,40.0,0.0,0.0,0.0,84.0,75.0,60.0,91.0,69.0,44.0,19.0,19.0,2023
HMI,IONIQ5 (NEi),내수용,0.0,33.0,21.0,189.0,160.0,100.0,125.0,130.0,176.0,117.0,96.0,81.0,2023
HMI, Tucson (TLi),내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
HMI, Tucson (NX4i),내수용,180.0,498.0,581.0,550.0,379.0,263.0,239.0,236.0,237.0,202.0,118.0,209.0,2023
HMI, Santro (AH2),수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
HMI,Xcent(BA 4DR),수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
HMI,Xcent(BA 5DR),수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
HMI, Aura (AI3 4DR),수출용,1099.0,727.0,2311.0,1149.0,1039.0,2703.0,2963.0,3023.0,4124.0,3526.0,3083.0,2955.0,2023
HMI, NIOS (AI3 5DR),수출용,1727.0,2425.0,1447.0,798.0,2307.0,3515.0,4448.0,4421.0,3803.0,3474.0,3946.0,3333.0,2023
HMI, i20 (BI3 5DR),수출용,1117.0,427.0,276.0,286.0,410.0,851.0,856.0,1169.0,675.0,880.0,39.0,83.0,2023
HMI, Verna (Hci),수출용,3509.0,2243.0,3291.0,3973.0,5198.0,3149.0,8.0,0.0,0.0,0.0,0.0,0.0,2023
HMI, Verna (BN7i),수출용,0.0,0.0,0.0,0.0,1.0,2485.0,5100.0,5403.0,5482.0,3663.0,6977.0,5886.0,2023
HMI, Exter(AI3 SUV),수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023
HMI, Venue(QXi),수출용,1249.0,1021.0,498.0,1006.0,1025.0,1511.0,1176.0,1912.0,1812.0,1096.0,671.0,397.0,2023
HMI, Creta(SU2i),수출용,2236.0,3101.0,1902.0,513.0,329.0,193.0,616.0,435.0,427.0,205.0,358.0,200.0,2023
HMI, Creta(SU2i LWB),수출용,1233.0,906.0,1175.0,775.0,691.0,1193.0,833.0,1241.0,1077.0,756.0,1276.0,846.0,2023
HAOS,i10 (AC3),내수용,70.0,63.0,71.0,0.0,0.0,210.0,302.0,60.0,69.0,51.0,238.0,359.0,2023
HAOS,i20 (BC3),내수용,2422.0,2004.0,2243.0,1756.0,1679.0,1276.0,983.0,347.0,2334.0,1586.0,2681.0,1915.0,2023
HAOS,Bayon (BC3 CUV),내수용,985.0,1257.0,1257.0,985.0,1701.0,1701.0,2164.0,1743.0,947.0,1287.0,1726.0,1776.0,2023
