국가,대륙,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
U.S.A,North America,33157,44040,44161,43894,51132,47682,46768,46840,49241,57589,58435,58183,2023
Canada,North America,9824,11958,11464,10792,10478,11495,8383,6155,6143,9776,10729,11805,2023
Mexico,North America,8,82,57,45,69,31,202,216,75,130,200,112,2023
Europe Subsidiaries,Europe,8949,14775,12550,11058,12274,13248,8080,5970,6476,6753,7476,6762,2023
Europe Distributors,Europe,2127,1526,2525,3539,2940,2913,3767,3675,3059,3625,2046,2875,2023
Turkey,Europe,389,854,653,913,1096,1096,1421,870,870,1110,1102,805,2023
Latin America,Others,3896,5092,4954,5758,4294,5538,4700,4796,4068,5022,3691,4547,2023
Russia/CIS,Others,2146,2220,1945,2991,2672,2541,2157,2498,1734,2211,2063,1916,2023
Middle East/Africa,Others,10427,10128,12760,11043,9118,8908,9410,8890,5963,8258,6651,8346,2023
Asia/Pacific,Others,11288,7295,8997,10570,10678,10496,10563,9940,4984,10793,7556,7712,2023
U.S.A.,North America,55421,43704,57669,63939,62068,55809,44859,52389,45941,52255,45782,57802,2024
Canada,North America,11189,9437,11914,10738,10512,12175,10867,8529,10163,12632,9098,10807,2024
Mexico,North America,60,51,287,373,194,150,143,146,189,153,121,72,2024
Europe Subsidiaries,Europe,7172,8467,8538,10326,7889,7881,6881,6457,6214,7967,8753,10033,2024
Europe Distributors,Europe,2525,1510,1898,2529,2009,1887,1733,1466,1567,2576,3002,2809,2024
Turkey,Europe,441,1697,1667,1759,751,383,204,53,140,350,259,734,2024
Latin America,Others,4772,4206,4805,4592,3392,4433,3766,3946,5439,4341,3448,5599,2024
Russia/CIS,Others,1932,1818,1970,2067,1435,2265,1936,2532,3955,3694,3014,2219,2024
Middle East/Africa,Others,9074,6530,8131,9320,9390,9522,10005,6314,7645,9330,8768,8388,2024
Asia/Pacific,Others,6891,6057,7161,8351,7760,9011,7822,8918,10004,7142,6838,7324,2024
U.S.A.,North America,41454,0,0,0,0,0,0,0,0,0,0,0,2025
Canada,North America,10472,0,0,0,0,0,0,0,0,0,0,0,2025
Mexico,North America,29,0,0,0,0,0,0,0,0,0,0,0,2025
Europe Subsidiaries,Europe,8298,0,0,0,0,0,0,0,0,0,0,0,2025
Europe Distributors,Europe,4017,0,0,0,0,0,0,0,0,0,0,0,2025
Turkey,Europe,197,0,0,0,0,0,0,0,0,0,0,0,2025
GME,Europe,46,0,0,0,0,0,0,0,0,0,0,0,2025
Latin America,Others,4157,0,0,0,0,0,0,0,0,0,0,0,2025
Russia/CIS,Others,2828,0,0,0,0,0,0,0,0,0,0,0,2025
Middle East/Africa,Others,7909,0,0,0,0,0,0,0,0,0,0,0,2025
Asia/Pacific,Others,6294,0,0,0,0,0,0,0,0,0,0,0,2025
