Models,차량 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,국가명,연도
i10 (AC3),PC,4791.0,3820.0,5365.0,3514.0,4714.0,5812.0,4593.0,2961.0,4762.0,3965.0,4564.0,3953.0,EU,2023
i20 (GB),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2023
i20 (BC3),PC,3100.0,3221.0,5174.0,4437.0,4722.0,4607.0,4908.0,3119.0,4747.0,3872.0,3459.0,3041.0,EU,2023
i20 N (BC3 N),PC,202.0,194.0,600.0,360.0,444.0,342.0,298.0,379.0,663.0,592.0,597.0,634.0,EU,2023
Elantra,PC,117.0,131.0,108.0,181.0,147.0,237.0,198.0,90.0,40.0,31.0,80.0,30.0,EU,2023
IONIQ (HEV),PC,54.0,17.0,34.0,12.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,EU,2023
IONIQ (PHEV),PC,12.0,2.0,6.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,EU,2023
IONIQ (EV),PC,76.0,3.0,74.0,12.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,1.0,EU,2023
i30 (PD),PC,3348.0,2848.0,3549.0,3083.0,3064.0,3300.0,2765.0,2188.0,2885.0,2689.0,2983.0,2557.0,EU,2023
i30 (PD N),PC,408.0,320.0,506.0,431.0,474.0,289.0,281.0,241.0,434.0,405.0,390.0,451.0,EU,2023
i40 (VF),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2023
Ioniq6 EV (CE_EV),PC,267.0,803.0,865.0,1084.0,827.0,893.0,1067.0,1505.0,910.0,862.0,804.0,932.0,EU,2023
G80 (DH),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2023
ix20 (JC),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2023
Bayon (BC3 CUV),RV,1521.0,1846.0,2840.0,1343.0,2241.0,2749.0,1773.0,1704.0,2755.0,2905.0,3566.0,2550.0,EU,2023
Kona (OS),RV,1701.0,1563.0,2640.0,2217.0,1729.0,2831.0,753.0,318.0,210.0,69.0,48.0,17.0,EU,2023
Kona (OS EV),RV,536.0,336.0,1170.0,818.0,666.0,664.0,507.0,297.0,607.0,221.0,179.0,62.0,EU,2023
Kona (Ose- EV),RV,1158.0,1812.0,2731.0,1803.0,2134.0,2635.0,2561.0,2318.0,1619.0,1008.0,586.0,679.0,EU,2023
Kona (OS HEV),RV,2080.0,1564.0,2151.0,1541.0,1654.0,1570.0,398.0,149.0,123.0,84.0,32.0,15.0,EU,2023
Kona N (OS N),RV,164.0,120.0,339.0,471.0,329.0,108.0,86.0,67.0,105.0,98.0,79.0,68.0,EU,2023
Kona (SX2),RV,0.0,0.0,0.0,0.0,3.0,487.0,839.0,844.0,1598.0,1518.0,2093.0,1553.0,EU,2023
Kona (SX2 HEV),RV,0.0,0.0,0.0,0.0,89.0,811.0,1525.0,1528.0,2758.0,2932.0,2218.0,2526.0,EU,2023
Kona (SXe_EV),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,706.0,918.0,1547.0,1409.0,EU,2023
Tucson (TLe),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2023
Tucson (NX4e),RV,3622.0,4449.0,7501.0,4779.0,5322.0,5966.0,5377.0,3039.0,5698.0,5432.0,5219.0,4874.0,EU,2023
Tucson (NX4e HEV),RV,3373.0,3959.0,6497.0,4423.0,4543.0,5291.0,3606.0,2228.0,5608.0,4269.0,4501.0,4105.0,EU,2023
Tucson (NX4e PHEV),RV,1476.0,1322.0,2201.0,1934.0,2120.0,2166.0,1331.0,908.0,1640.0,1771.0,1741.0,1394.0,EU,2023
NEXO (FE),RV,44.0,2.0,9.0,6.0,5.0,16.0,9.0,0.0,1.0,2.0,2.0,1.0,EU,2023
IONIQ 5 (NE),RV,2331.0,1811.0,1972.0,2220.0,2188.0,2400.0,2040.0,2213.0,1987.0,1928.0,1403.0,1414.0,EU,2023
Santa-Fe (DM),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2023
Santa-Fe (TM),RV,230.0,320.0,387.0,260.0,258.0,230.0,161.0,181.0,205.0,371.0,198.0,105.0,EU,2023
Santa Fe HEV (TM HEV),RV,467.0,307.0,486.0,377.0,306.0,460.0,344.0,266.0,512.0,336.0,264.0,204.0,EU,2023
