국가,차량 모델,연도,월,판매량
북미-미국,Accent,2023,10월,1
북미-미국,Accent,2023,11월,1
북미-미국,Accent,2023,12월,1
북미-미국,Accent,2023,1월,16
북미-미국,Accent,2023,2월,12
북미-미국,Accent,2023,3월,2
북미-미국,Accent,2023,4월,1
북미-미국,Accent,2023,5월,1
북미-미국,Accent,2023,6월,1
북미-미국,Accent,2023,7월,1
북미-미국,Accent,2023,8월,1
북미-미국,Accent,2023,9월,1
북미-미국,Accent,2024,10월,1
북미-미국,Accent,2024,11월,1
북미-미국,Accent,2024,12월,1
북미-미국,Accent,2024,1월,1
북미-미국,Accent,2024,2월,1
북미-미국,Accent,2024,3월,1
북미-미국,Accent,2024,4월,1
북미-미국,Accent,2024,5월,1
북미-미국,Accent,2024,6월,1
북미-미국,Accent,2024,7월,1
북미-미국,Accent,2024,8월,1
북미-미국,Accent,2024,9월,1
북미-미국,Accent,2025,10월,1
북미-미국,Accent,2025,11월,1
북미-미국,Accent,2025,12월,1
북미-미국,Accent,2025,1월,1
북미-미국,Accent,2025,2월,1
북미-미국,Accent,2025,3월,1
북미-미국,Accent,2025,4월,1
북미-미국,Accent,2025,5월,1
북미-미국,Accent,2025,6월,1
북미-미국,Accent,2025,7월,1
북미-미국,Accent,2025,8월,1
북미-미국,Accent,2025,9월,1
북미-미국,Elantra,2023,10월,9456
북미-미국,Elantra,2023,11월,8813
북미-미국,Elantra,2023,12월,8577
북미-미국,Elantra,2023,1월,8655
북미-미국,Elantra,2023,2월,10371
북미-미국,Elantra,2023,3월,13447
북미-미국,Elantra,2023,4월,13236
북미-미국,Elantra,2023,5월,15605
북미-미국,Elantra,2023,6월,13424
북미-미국,Elantra,2023,7월,11898
북미-미국,Elantra,2023,8월,11262
북미-미국,Elantra,2023,9월,9405
북미-미국,Elantra,2024,10월,12151
북미-미국,Elantra,2024,11월,11344
북미-미국,Elantra,2024,12월,11585
북미-미국,Elantra,2024,1월,6900
북미-미국,Elantra,2024,2월,8432
북미-미국,Elantra,2024,3월,11528
북미-미국,Elantra,2024,4월,10102
북미-미국,Elantra,2024,5월,13311
북미-미국,Elantra,2024,6월,12016
북미-미국,Elantra,2024,7월,13764
북미-미국,Elantra,2024,8월,14379
북미-미국,Elantra,2024,9월,11186
북미-미국,Elantra,2025,10월,6900
북미-미국,Elantra,2025,11월,6900
북미-미국,Elantra,2025,12월,6900
북미-미국,Elantra,2025,1월,8866
북미-미국,Elantra,2025,2월,6900
북미-미국,Elantra,2025,3월,6900
북미-미국,Elantra,2025,4월,6900
북미-미국,Elantra,2025,5월,6900
북미-미국,Elantra,2025,6월,6900
북미-미국,Elantra,2025,7월,6900
북미-미국,Elantra,2025,8월,6900
북미-미국,Elantra,2025,9월,6900
북미-미국,Elantra (CN7a),2023,10월,6
북미-미국,Elantra (CN7a),2023,11월,6
북미-미국,Elantra (CN7a),2023,12월,6
북미-미국,Elantra (CN7a),2023,1월,1781
북미-미국,Elantra (CN7a),2023,2월,2218
북미-미국,Elantra (CN7a),2023,3월,3005
북미-미국,Elantra (CN7a),2023,4월,2983
북미-미국,Elantra (CN7a),2023,5월,3021
북미-미국,Elantra (CN7a),2023,6월,215
북미-미국,Elantra (CN7a),2023,7월,6
북미-미국,Elantra (CN7a),2023,8월,6
북미-미국,Elantra (CN7a),2023,9월,6
북미-미국,Elantra (CN7a),2024,10월,6
북미-미국,Elantra (CN7a),2024,11월,6
북미-미국,Elantra (CN7a),2024,12월,6
북미-미국,Elantra (CN7a),2024,1월,6
북미-미국,Elantra (CN7a),2024,2월,6
북미-미국,Elantra (CN7a),2024,3월,6
북미-미국,Elantra (CN7a),2024,4월,6
북미-미국,Elantra (CN7a),2024,5월,6
북미-미국,Elantra (CN7a),2024,6월,6
북미-미국,Elantra (CN7a),2024,7월,6
북미-미국,Elantra (CN7a),2024,8월,6
북미-미국,Elantra (CN7a),2024,9월,6
북미-미국,Elantra (CN7a),2025,10월,6
북미-미국,Elantra (CN7a),2025,11월,6
북미-미국,Elantra (CN7a),2025,12월,6
북미-미국,Elantra (CN7a),2025,1월,6
북미-미국,Elantra (CN7a),2025,2월,6
북미-미국,Elantra (CN7a),2025,3월,6
북미-미국,Elantra (CN7a),2025,4월,6
북미-미국,Elantra (CN7a),2025,5월,6
북미-미국,Elantra (CN7a),2025,6월,6
북미-미국,Elantra (CN7a),2025,7월,6
북미-미국,Elantra (CN7a),2025,8월,6
북미-미국,Elantra (CN7a),2025,9월,6
북미-미국,G70,2023,10월,982
북미-미국,G70,2023,11월,684
북미-미국,G70,2023,12월,897
북미-미국,G70,2023,1월,804
북미-미국,G70,2023,2월,719
북미-미국,G70,2023,3월,1057
북미-미국,G70,2023,4월,1139
북미-미국,G70,2023,5월,1156
북미-미국,G70,2023,6월,1353
북미-미국,G70,2023,7월,1310
북미-미국,G70,2023,8월,1394
북미-미국,G70,2023,9월,1751
북미-미국,G70,2024,10월,1016
북미-미국,G70,2024,11월,1548
북미-미국,G70,2024,12월,1156
북미-미국,G70,2024,1월,986
북미-미국,G70,2024,2월,686
북미-미국,G70,2024,3월,1020
북미-미국,G70,2024,4월,1035
북미-미국,G70,2024,5월,931
북미-미국,G70,2024,6월,838
북미-미국,G70,2024,7월,850
북미-미국,G70,2024,8월,1055
북미-미국,G70,2024,9월,1137
북미-미국,G70,2025,10월,642
북미-미국,G70,2025,11월,642
북미-미국,G70,2025,12월,642
북미-미국,G70,2025,1월,642
북미-미국,G70,2025,2월,642
북미-미국,G70,2025,3월,642
북미-미국,G70,2025,4월,642
북미-미국,G70,2025,5월,642
북미-미국,G70,2025,6월,642
북미-미국,G70,2025,7월,642
북미-미국,G70,2025,8월,642
북미-미국,G70,2025,9월,642
북미-미국,G80 (RG3 EV),2023,10월,103
북미-미국,G80 (RG3 EV),2023,11월,16
북미-미국,G80 (RG3 EV),2023,12월,26
북미-미국,G80 (RG3 EV),2023,1월,33
북미-미국,G80 (RG3 EV),2023,2월,32
북미-미국,G80 (RG3 EV),2023,3월,315
북미-미국,G80 (RG3 EV),2023,4월,94
북미-미국,G80 (RG3 EV),2023,5월,120
북미-미국,G80 (RG3 EV),2023,6월,119
북미-미국,G80 (RG3 EV),2023,7월,227
북미-미국,G80 (RG3 EV),2023,8월,107
북미-미국,G80 (RG3 EV),2023,9월,137
북미-미국,G80 (RG3 EV),2024,10월,44
북미-미국,G80 (RG3 EV),2024,11월,29
북미-미국,G80 (RG3 EV),2024,12월,29
북미-미국,G80 (RG3 EV),2024,1월,23
북미-미국,G80 (RG3 EV),2024,2월,26
북미-미국,G80 (RG3 EV),2024,3월,55
북미-미국,G80 (RG3 EV),2024,4월,9
북미-미국,G80 (RG3 EV),2024,5월,11
북미-미국,G80 (RG3 EV),2024,6월,16
북미-미국,G80 (RG3 EV),2024,7월,24
북미-미국,G80 (RG3 EV),2024,8월,79
북미-미국,G80 (RG3 EV),2024,9월,52
북미-미국,G80 (RG3 EV),2025,10월,9
북미-미국,G80 (RG3 EV),2025,11월,9
북미-미국,G80 (RG3 EV),2025,12월,9
북미-미국,G80 (RG3 EV),2025,1월,20
북미-미국,G80 (RG3 EV),2025,2월,9
북미-미국,G80 (RG3 EV),2025,3월,9
북미-미국,G80 (RG3 EV),2025,4월,9
북미-미국,G80 (RG3 EV),2025,5월,9
북미-미국,G80 (RG3 EV),2025,6월,9
북미-미국,G80 (RG3 EV),2025,7월,9
북미-미국,G80 (RG3 EV),2025,8월,9
북미-미국,G80 (RG3 EV),2025,9월,9
북미-미국,G80 (RG3),2023,10월,369
북미-미국,G80 (RG3),2023,11월,322
북미-미국,G80 (RG3),2023,12월,378
북미-미국,G80 (RG3),2023,1월,226
북미-미국,G80 (RG3),2023,2월,172
북미-미국,G80 (RG3),2023,3월,296
북미-미국,G80 (RG3),2023,4월,383
북미-미국,G80 (RG3),2023,5월,370
북미-미국,G80 (RG3),2023,6월,768
북미-미국,G80 (RG3),2023,7월,400
북미-미국,G80 (RG3),2023,8월,186
북미-미국,G80 (RG3),2023,9월,300
북미-미국,G80 (RG3),2024,10월,268
북미-미국,G80 (RG3),2024,11월,362
북미-미국,G80 (RG3),2024,12월,320
북미-미국,G80 (RG3),2024,1월,229
북미-미국,G80 (RG3),2024,2월,320
북미-미국,G80 (RG3),2024,3월,419
북미-미국,G80 (RG3),2024,4월,321
북미-미국,G80 (RG3),2024,5월,388
북미-미국,G80 (RG3),2024,6월,313
북미-미국,G80 (RG3),2024,7월,250
북미-미국,G80 (RG3),2024,8월,311
북미-미국,G80 (RG3),2024,9월,257
