국가,연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
기타,2025,46,0,0,0,0,0,0,0,0,0,0,0
동유럽,2023,2535,3074,2598,3904,3768,3637,3578,3368,2604,3321,3165,2721
동유럽,2024,2373,3515,3637,3826,2186,2648,2140,2585,4095,4044,3273,2953
동유럽,2025,3025,0,0,0,0,0,0,0,0,0,0,0
북미-멕시코,2023,8,82,57,45,69,31,202,216,75,130,200,112
북미-멕시코,2024,60,51,287,373,194,150,143,146,189,153,121,72
북미-멕시코,2025,29,0,0,0,0,0,0,0,0,0,0,0
북미-미국,2023,33157,44040,44161,43894,51132,47682,46768,46840,49241,57589,58435,58183
북미-미국,2024,55421,43704,57669,63939,62068,55809,44859,52389,45941,52255,45782,57802
북미-미국,2025,41454,0,0,0,0,0,0,0,0,0,0,0
북미-캐나다,2023,9824,11958,11464,10792,10478,11495,8383,6155,6143,9776,10729,11805
북미-캐나다,2024,11189,9437,11914,10738,10512,12175,10867,8529,10163,12632,9098,10807
북미-캐나다,2025,10472,0,0,0,0,0,0,0,0,0,0,0
서유럽,2023,11076,16301,15075,14597,15214,16161,11847,9645,9535,10378,9522,9637
서유럽,2024,9697,9977,10436,12855,9898,9768,8614,7923,7781,10543,11755,12842
서유럽,2025,12315,0,0,0,0,0,0,0,0,0,0,0
아시아,2023,11288,7295,8997,10570,10678,10496,10563,9940,4984,10793,7556,7712
아시아,2024,6891,6057,7161,8351,7760,9011,7822,8918,10004,7142,6838,7324
아시아,2025,6294,0,0,0,0,0,0,0,0,0,0,0
중남미,2023,3896,5092,4954,5758,4294,5538,4700,4796,4068,5022,3691,4547
중남미,2024,4772,4206,4805,4592,3392,4433,3766,3946,5439,4341,3448,5599
중남미,2025,4157,0,0,0,0,0,0,0,0,0,0,0
중동·아프리카,2023,10427,10128,12760,11043,9118,8908,9410,8890,5963,8258,6651,8346
중동·아프리카,2024,9074,6530,8131,9320,9390,9522,10005,6314,7645,9330,8768,8388
중동·아프리카,2025,7909,0,0,0,0,0,0,0,0,0,0,0
