차량 모델,차량 유형,판매 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
Avante (CN7),승용차,내수용,5241.0,5430.0,5466.0,5123.0,5191.0,4556.0,3534.0,4193.0,3739.0,4246.0,4760.0,4196.0,2023
Avante (CN7 HEV),승용차,내수용,777.0,827.0,1070.0,120.0,1365.0,742.0,466.0,402.0,407.0,640.0,953.0,794.0,2023
Avante (CN7 N),승용차,내수용,82.0,79.0,83.0,35.0,43.0,20.0,2.0,163.0,221.0,131.0,115.0,152.0,2023
IONIQ (AE HEV),승용차,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
IONIQ (AE PHEV),승용차,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
IONIQ (AE EV),승용차,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Veloster (JS N),승용차,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Sonata (LF),승용차,내수용,996.0,1012.0,1230.0,1603.0,901.0,1162.0,673.0,401.0,407.0,303.0,321.0,310.0,2023
Sonata (DN8),승용차,내수용,1189.0,842.0,608.0,422.0,1432.0,2258.0,1588.0,1856.0,1869.0,3537.0,3498.0,3612.0,2023
Sonata (DN8 HEV),승용차,내수용,354.0,386.0,377.0,207.0,297.0,693.0,554.0,744.0,671.0,1009.0,1076.0,1243.0,2023
Grandeur (IG),승용차,내수용,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Grandeur (IG HEV),승용차,내수용,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Grandeur (GN7),승용차,내수용,5407.0,5419.0,5561.0,4818.0,4684.0,4012.0,3409.0,3492.0,3509.0,3913.0,3308.0,3610.0,2023
Grandeur (GN7 HEV),승용차,내수용,3711.0,4396.0,5355.0,5179.0,6897.0,7516.0,5122.0,5328.0,4650.0,4279.0,4672.0,4800.0,2023
IONIQ 6 (CE),승용차,내수용,23.0,1632.0,2200.0,1316.0,1117.0,491.0,488.0,400.0,344.0,472.0,618.0,183.0,2023
G70 (IK),승용차,내수용,268.0,195.0,390.0,356.0,215.0,429.0,529.0,423.0,364.0,257.0,251.0,255.0,2023
G70 S/B (IK S/B),승용차,내수용,49.0,25.0,76.0,23.0,33.0,40.0,30.0,34.0,20.0,21.0,16.0,21.0,2023
G80 (RG3),승용차,내수용,4052.0,4268.0,4356.0,4407.0,4701.0,4647.0,3169.0,2855.0,2765.0,1931.0,2956.0,2092.0,2023
G80 (RG3 EV),승용차,내수용,5.0,22.0,314.0,166.0,112.0,71.0,83.0,68.0,54.0,38.0,67.0,37.0,2023
G90 (HI),승용차,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
G90 (RS4),승용차,내수용,944.0,835.0,1120.0,1023.0,1417.0,1629.0,1102.0,1054.0,836.0,646.0,719.0,1154.0,2023
Casper (AX),레저용 차량,내수용,3070.0,3164.0,3248.0,3420.0,4064.0,3900.0,3706.0,3804.0,3705.0,3648.0,5701.0,4021.0,2023
Venue (QX),레저용 차량,내수용,646.0,492.0,526.0,449.0,511.0,952.0,546.0,904.0,771.0,1182.0,776.0,526.0,2023
Kona (OS),레저용 차량,내수용,47.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Kona (OS HEV),레저용 차량,내수용,186.0,95.0,52.0,24.0,10.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,2023
Kona (OS EV),레저용 차량,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Kona (OS N),레저용 차량,내수용,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Kona (SX2),레저용 차량,내수용,620.0,3127.0,3758.0,2370.0,1474.0,1529.0,1564.0,1187.0,1237.0,1326.0,1323.0,1218.0,2023
Kona (SX2 HEV),레저용 차량,내수용,0.0,0.0,989.0,1653.0,974.0,941.0,836.0,1153.0,1056.0,1271.0,1454.0,682.0,2023
Kona (SX2 EV),레저용 차량,내수용,0.0,0.0,0.0,0.0,64.0,664.0,238.0,355.0,208.0,337.0,432.0,212.0,2023
Tucson (TL),레저용 차량,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Tucson (NX4),레저용 차량,내수용,2044.0,1955.0,2454.0,2409.0,2544.0,2755.0,1546.0,1659.0,1785.0,1922.0,1827.0,1883.0,2023
Tucson (NX4 HEV),레저용 차량,내수용,1592.0,1606.0,1782.0,1703.0,1697.0,1686.0,1644.0,1317.0,1341.0,1510.0,1378.0,1705.0,2023
NEXO (FE),레저용 차량,내수용,307.0,884.0,694.0,327.0,410.0,305.0,371.0,293.0,237.0,189.0,232.0,79.0,2023
IONIQ 5 (NE),레저용 차량,내수용,76.0,1911.0,1701.0,2123.0,2396.0,1297.0,1350.0,1061.0,612.0,1376.0,1669.0,763.0,2023
IONIQ 5 N (NE N),레저용 차량,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,95.0,54.0,28.0,2023
Santa-Fe (TM),레저용 차량,내수용,1063.0,1240.0,1054.0,1136.0,1310.0,1323.0,963.0,968.0,263.0,161.0,79.0,54.0,2023
Santa-Fe (TM HEV),레저용 차량,내수용,1061.0,1536.0,1923.0,1638.0,1247.0,2030.0,1112.0,1257.0,547.0,224.0,44.0,1.0,2023
Santa-Fe (MX5),레저용 차량,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,4329.0,3277.0,1708.0,2011.0,2023
Santa-Fe (MX5 HEV),레저용 차량,내수용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4669.0,6949.0,5616.0,2023
Palisade (LX2),레저용 차량,내수용,3922.0,3539.0,4820.0,4096.0,3553.0,3164.0,3264.0,3752.0,2935.0,2825.0,3157.0,2066.0,2023
GV60 (JW),레저용 차량,내수용,7.0,210.0,716.0,530.0,598.0,422.0,227.0,127.0,104.0,111.0,96.0,50.0,2023
GV70 (JK),레저용 차량,내수용,1146.0,2291.0,2675.0,2446.0,2288.0,3781.0,3209.0,2833.0,2743.0,3467.0,2819.0,2617.0,2023
GV70 (JK EV),레저용 차량,내수용,3.0,177.0,302.0,320.0,327.0,247.0,206.0,94.0,121.0,240.0,91.0,31.0,2023
GV80 (JX),레저용 차량,내수용,1881.0,1673.0,2786.0,2916.0,2737.0,2572.0,1900.0,1692.0,1507.0,885.0,3874.0,4437.0,2023
LCV,상용차,내수용,9542.0,14515.0,14262.0,12475.0,11628.0,11751.0,11912.0,8927.0,8414.0,11843.0,12597.0,9589.0,2023
HCV,상용차,내수용,1178.0,1227.0,2579.0,1826.0,2443.0,2550.0,2154.0,2209.0,2047.0,2347.0,2468.0,2124.0,2023
Avante (CN7),승용차,수출용,13012.0,15452.0,14486.0,14714.0,14232.0,15191.0,13160.0,13015.0,11833.0,15295.0,14959.0,14060.0,2023
Avante (CN7 HEV),승용차,수출용,2492.0,2792.0,2794.0,3416.0,2671.0,2715.0,2857.0,2574.0,2615.0,2929.0,2776.0,3758.0,2023
Avante (CN7 N),승용차,수출용,719.0,450.0,307.0,584.0,382.0,681.0,234.0,119.0,377.0,553.0,586.0,205.0,2023
IONIQ (AE HEV),승용차,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
IONIQ (AE PHEV),승용차,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
IONIQ (AE EV),승용차,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
i30 (PD),승용차,수출용,1564.0,1107.0,1523.0,1863.0,1070.0,1280.0,1452.0,1538.0,493.0,1278.0,699.0,1412.0,2023
