국가,연도,월,y,ds
동유럽,2023,1,2535,2023-01-01
동유럽,2024,1,2373,2024-01-01
동유럽,2025,1,3025,2025-01-01
북미-멕시코,2023,1,8,2023-01-01
북미-멕시코,2024,1,60,2024-01-01
북미-멕시코,2025,1,29,2025-01-01
북미-미국,2023,1,33157,2023-01-01
북미-미국,2024,1,55421,2024-01-01
북미-미국,2025,1,41454,2025-01-01
북미-캐나다,2023,1,9824,2023-01-01
북미-캐나다,2024,1,11189,2024-01-01
북미-캐나다,2025,1,10472,2025-01-01
서유럽,2023,1,11076,2023-01-01
서유럽,2024,1,9697,2024-01-01
서유럽,2025,1,12315,2025-01-01
아시아,2023,1,11288,2023-01-01
아시아,2024,1,6891,2024-01-01
아시아,2025,1,6294,2025-01-01
중남미,2023,1,3896,2023-01-01
중남미,2024,1,4772,2024-01-01
중남미,2025,1,4157,2025-01-01
중동·아프리카,2023,1,10427,2023-01-01
중동·아프리카,2024,1,9074,2024-01-01
중동·아프리카,2025,1,7909,2025-01-01
동유럽,2021,1,4140,2021-01-01
동유럽,2022,1,4510,2022-01-01
북미-멕시코,2021,1,2,2021-01-01
북미-멕시코,2022,1,0,2022-01-01
북미-미국,2021,1,33889,2021-01-01
북미-미국,2022,1,30094,2022-01-01
북미-캐나다,2021,1,10943,2021-01-01
북미-캐나다,2022,1,8555,2022-01-01
서유럽,2021,1,11099,2021-01-01
서유럽,2022,1,10582,2022-01-01
아시아,2021,1,7565,2021-01-01
아시아,2022,1,7921,2022-01-01
중남미,2021,1,2925,2021-01-01
중남미,2022,1,4224,2022-01-01
중동·아프리카,2021,1,8907,2021-01-01
중동·아프리카,2022,1,8079,2022-01-01
동유럽,2023,2,3074,2023-02-01
동유럽,2024,2,3515,2024-02-01
북미-멕시코,2023,2,82,2023-02-01
북미-멕시코,2024,2,51,2024-02-01
북미-미국,2023,2,44040,2023-02-01
북미-미국,2024,2,43704,2024-02-01
북미-캐나다,2023,2,11958,2023-02-01
북미-캐나다,2024,2,9437,2024-02-01
서유럽,2023,2,16301,2023-02-01
서유럽,2024,2,9977,2024-02-01
아시아,2023,2,7295,2023-02-01
아시아,2024,2,6057,2024-02-01
중남미,2023,2,5092,2023-02-01
중남미,2024,2,4206,2024-02-01
중동·아프리카,2023,2,10128,2023-02-01
중동·아프리카,2024,2,6530,2024-02-01
동유럽,2021,2,5098,2021-02-01
동유럽,2022,2,3064,2022-02-01
북미-멕시코,2021,2,1,2021-02-01
북미-멕시코,2022,2,11,2022-02-01
북미-미국,2021,2,23117,2021-02-01
북미-미국,2022,2,30072,2022-02-01
북미-캐나다,2021,2,7551,2021-02-01
북미-캐나다,2022,2,7274,2022-02-01
서유럽,2021,2,10883,2021-02-01
서유럽,2022,2,11273,2022-02-01
아시아,2021,2,8895,2021-02-01
아시아,2022,2,8101,2022-02-01
중남미,2021,2,1538,2021-02-01
중남미,2022,2,4021,2022-02-01
중동·아프리카,2021,2,7311,2021-02-01
중동·아프리카,2022,2,8620,2022-02-01
동유럽,2023,3,2598,2023-03-01
동유럽,2024,3,3637,2024-03-01
북미-멕시코,2023,3,57,2023-03-01
북미-멕시코,2024,3,287,2024-03-01
북미-미국,2023,3,44161,2023-03-01
북미-미국,2024,3,57669,2024-03-01
북미-캐나다,2023,3,11464,2023-03-01
북미-캐나다,2024,3,11914,2024-03-01
서유럽,2023,3,15075,2023-03-01
서유럽,2024,3,10436,2024-03-01
아시아,2023,3,8997,2023-03-01
아시아,2024,3,7161,2024-03-01
중남미,2023,3,4954,2023-03-01
중남미,2024,3,4805,2024-03-01
중동·아프리카,2023,3,12760,2023-03-01
중동·아프리카,2024,3,8131,2024-03-01
동유럽,2021,3,5917,2021-03-01
동유럽,2022,3,2432,2022-03-01
북미-멕시코,2021,3,0,2021-03-01
북미-멕시코,2022,3,91,2022-03-01
북미-미국,2021,3,35001,2021-03-01
북미-미국,2022,3,36663,2022-03-01
북미-캐나다,2021,3,12820,2021-03-01
북미-캐나다,2022,3,8626,2022-03-01
서유럽,2021,3,12861,2021-03-01
서유럽,2022,3,10359,2022-03-01
아시아,2021,3,9135,2021-03-01
아시아,2022,3,7615,2022-03-01
중남미,2021,3,4201,2021-03-01
중남미,2022,3,3300,2022-03-01
중동·아프리카,2021,3,7569,2021-03-01
중동·아프리카,2022,3,7592,2022-03-01
동유럽,2023,4,3904,2023-04-01
동유럽,2024,4,3826,2024-04-01
북미-멕시코,2023,4,45,2023-04-01
북미-멕시코,2024,4,373,2024-04-01
북미-미국,2023,4,43894,2023-04-01
북미-미국,2024,4,63939,2024-04-01
북미-캐나다,2023,4,10792,2023-04-01
북미-캐나다,2024,4,10738,2024-04-01
서유럽,2023,4,14597,2023-04-01
서유럽,2024,4,12855,2024-04-01
아시아,2023,4,10570,2023-04-01
아시아,2024,4,8351,2024-04-01
중남미,2023,4,5758,2023-04-01
중남미,2024,4,4592,2024-04-01
중동·아프리카,2023,4,11043,2023-04-01
중동·아프리카,2024,4,9320,2024-04-01
동유럽,2021,4,6778,2021-04-01
동유럽,2022,4,3195,2022-04-01
북미-멕시코,2021,4,32,2021-04-01
북미-멕시코,2022,4,0,2022-04-01
북미-미국,2021,4,37500,2021-04-01
북미-미국,2022,4,38730,2022-04-01
북미-캐나다,2021,4,10299,2021-04-01
북미-캐나다,2022,4,10174,2022-04-01
서유럽,2021,4,12232,2021-04-01
서유럽,2022,4,11436,2022-04-01
아시아,2021,4,6783,2021-04-01
아시아,2022,4,10906,2022-04-01
중남미,2021,4,4264,2021-04-01
중남미,2022,4,5151,2022-04-01
중동·아프리카,2021,4,6248,2021-04-01
중동·아프리카,2022,4,8443,2022-04-01
동유럽,2023,5,3768,2023-05-01
동유럽,2024,5,2186,2024-05-01
북미-멕시코,2023,5,69,2023-05-01
북미-멕시코,2024,5,194,2024-05-01
북미-미국,2023,5,51132,2023-05-01
북미-미국,2024,5,62068,2024-05-01
북미-캐나다,2023,5,10478,2023-05-01
북미-캐나다,2024,5,10512,2024-05-01
서유럽,2023,5,15214,2023-05-01
서유럽,2024,5,9898,2024-05-01
아시아,2023,5,10678,2023-05-01
아시아,2024,5,7760,2024-05-01
중남미,2023,5,4294,2023-05-01
중남미,2024,5,3392,2024-05-01
중동·아프리카,2023,5,9118,2023-05-01
중동·아프리카,2024,5,9390,2024-05-01
동유럽,2021,5,6487,2021-05-01
동유럽,2022,5,3658,2022-05-01
북미-멕시코,2021,5,30,2021-05-01
북미-멕시코,2022,5,20,2022-05-01
북미-미국,2021,5,25180,2021-05-01
북미-미국,2022,5,39607,2022-05-01
북미-캐나다,2021,5,6771,2021-05-01
북미-캐나다,2022,5,8580,2022-05-01
서유럽,2021,5,8832,2021-05-01
서유럽,2022,5,12232,2022-05-01
아시아,2021,5,7057,2021-05-01
아시아,2022,5,9953,2022-05-01
중남미,2021,5,4142,2021-05-01
중남미,2022,5,4856,2022-05-01
중동·아프리카,2021,5,6125,2021-05-01
중동·아프리카,2022,5,7916,2022-05-01
동유럽,2023,6,3637,2023-06-01
동유럽,2024,6,2648,2024-06-01
북미-멕시코,2023,6,31,2023-06-01
