차량 구분,국가명,연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
CKD(모듈형 조립 방식),동유럽,2023,840,1320,880,1040,1120,800,840,1200,1000,840,480,640
CKD(모듈형 조립 방식),북미-멕시코,2023,0,0,0,0,0,0,0,0,0,0,0,0
CKD(모듈형 조립 방식),북미-미국,2023,0,0,0,0,0,0,0,0,0,0,0,0
CKD(모듈형 조립 방식),북미-캐나다,2023,0,0,0,0,0,0,0,0,0,0,0,0
CKD(모듈형 조립 방식),서유럽,2023,0,0,0,0,0,0,0,0,0,0,0,0
CKD(모듈형 조립 방식),아시아,2023,3384,4184,3464,2536,2072,2456,1920,2760,2884,3324,2348,4136
CKD(모듈형 조립 방식),중남미,2023,360,420,540,540,420,660,780,720,600,720,480,720
CKD(모듈형 조립 방식),중동·아프리카,2023,0,120,120,80,200,440,930,1040,1120,971,441,920
CKD(특수 차량 제외),동유럽,2024,1420,1420,780,1340,2160,1800,2760,2620,2380,2980,2520,2280
CKD(특수 차량 제외),동유럽,2025,2320,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량 제외),북미-멕시코,2024,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량 제외),북미-멕시코,2025,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량 제외),북미-미국,2024,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량 제외),북미-미국,2025,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량 제외),북미-캐나다,2024,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량 제외),북미-캐나다,2025,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량 제외),서유럽,2024,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량 제외),서유럽,2025,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량 제외),아시아,2024,2260,3200,3000,3040,3340,2940,3220,3060,3820,5040,4640,3760
CKD(특수 차량 제외),아시아,2025,3040,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량 제외),중남미,2024,480,300,240,300,480,300,420,660,540,720,240,720
CKD(특수 차량 제외),중남미,2025,600,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량 제외),중동·아프리카,2024,760,680,1720,120,80,40,160,80,400,120,120,360
CKD(특수 차량 제외),중동·아프리카,2025,680,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),동유럽,2024,0,0,0,0,0,2,2,0,0,0,2,0
CKD(특수 차량),동유럽,2025,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),북미-멕시코,2024,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),북미-멕시코,2025,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),북미-미국,2024,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),북미-미국,2025,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),북미-캐나다,2024,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),북미-캐나다,2025,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),서유럽,2024,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),서유럽,2025,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),아시아,2024,48,24,72,48,24,36,60,72,48,48,50,36
CKD(특수 차량),아시아,2025,60,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),중남미,2024,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),중남미,2025,0,0,0,0,0,0,0,0,0,0,0,0
CKD(특수 차량),중동·아프리카,2024,72,105,75,55,132,0,132,72,133,84,0,74
CKD(특수 차량),중동·아프리카,2025,101,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,동유럽,2023,158,117,157,259,226,149,469,214,566,537,77,300
상업용 차량,동유럽,2024,1178,861,1197,403,90,56,10,0,5,3,114,46
상업용 차량,동유럽,2025,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,북미-멕시코,2023,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,북미-멕시코,2024,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,북미-멕시코,2025,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,북미-미국,2023,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,북미-미국,2024,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,북미-미국,2025,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,북미-캐나다,2023,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,북미-캐나다,2024,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,북미-캐나다,2025,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,서유럽,2023,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,서유럽,2024,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,서유럽,2025,0,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,아시아,2023,359,448,298,328,301,353,319,342,104,73,87,79
상업용 차량,아시아,2024,379,366,381,260,191,247,253,328,249,146,144,297
상업용 차량,아시아,2025,225,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,중남미,2023,764,1048,995,874,1111,1193,1128,554,1377,1058,1259,1022
상업용 차량,중남미,2024,1144,735,1336,915,1255,1038,1125,1129,957,940,1019,1044
상업용 차량,중남미,2025,726,0,0,0,0,0,0,0,0,0,0,0
상업용 차량,중동·아프리카,2023,1733,1521,1553,1458,1137,940,2071,1327,1589,1342,1674,1884
상업용 차량,중동·아프리카,2024,1790,1285,1531,1342,1382,1726,1669,1440,1496,2023,1836,1577
