연도,국가명,모델명,판매량
2023,Africa,Toyota Hilux,37382
2023,Africa,Ford Ranger,24618
2023,Africa,Volkswagen Polo Vivo,23904
2023,Africa,Toyota Corolla Cross,22592
2023,Africa,Isuzu D-Max,18963
2023,Asia Pacific,Toyota Hilux,195777
2023,Asia Pacific,Isuzu D-Max,148020
2023,Asia Pacific,Perodua Myvi,123084
2023,Asia Pacific,Honda City,104008
2023,Asia Pacific,Honda HR-V,98696
2023,Canada,Ford F-Series,123267
2023,Canada,Ram Pickup,75257
2023,Canada,Toyota RAV4,74688
2023,Canada,GMC Sierra,59696
2023,Canada,Chevrolet Silverado,55286
2023,China,Tesla Model Y,456394
2023,China,BYD Qin Plus,424213
2023,China,BYD Song Plus,395201
2023,China,Nissan Sylphy,378272
2023,China,Volkswagen Lavida,345879
2023,Europe,Tesla Model Y,251604
2023,Europe,Dacia Sandero,234715
2023,Europe,Volkswagen T-Roc,204610
2023,Europe,Renault Clio,196000
2023,Europe,Peugeot 208,190000
2023,Eastern Europe,Tesla Model Y,263086
2023,Eastern Europe,Renault Clio,261189
2023,Eastern Europe,Dacia Sandero,242739
2023,Eastern Europe,Volkswagen T-Roc,222802
2023,Eastern Europe,Opel Corsa,207010
2023,India,Maruti Suzuki Swift,203469
2023,India,Maruti Suzuki WagonR,201301
2023,India,Maruti Suzuki Baleno,193989
2023,India,Maruti Suzuki Vitara (Grand Vitara),179771
2023,India,Tata Nexon,170312
2023,Latin America,Chevrolet Onix,144503
2023,Latin America,Fiat Strada,128348
2023,Latin America,Toyota Hilux,127400
2023,Latin America,Volkswagen Polo,123043
2023,Latin America,Hyundai HB20,103932
2023,Mexico,Nissan Versa,76926
2023,Mexico,Nissan NP300,61878
2023,Mexico,Chevrolet Aveo,52277
2023,Mexico,Kia Rio,40490
2023,Mexico,MG 5,33205
2023,Middle East,Toyota Yaris Sedan,36800
2023,Middle East,Nissan Sunny,14900
2023,Middle East,Toyota Hilux,13800
2023,Middle East,Hyundai Accent,11100
2023,Middle East,Nissan Patrol,12000
2023,U.S.A,Ford F-Series,750789
2023,U.S.A,Chevrolet Silverado,555148
2023,U.S.A,Ram 1500,444926
2023,U.S.A,Toyota RAV4,434943
2023,U.S.A,Tesla Model Y,385900
2024,Africa,Toyota Hilux,32656
2024,Africa,Volkswagen Polo Vivo,25913
2024,Africa,Ford Ranger,25553
2024,Africa,Toyota Corolla Cross,21861
2024,Africa,Isuzu D-Max,18973
2024,Asia Pacific,Toyota Hilux,176043
2024,Asia Pacific,Perodua Myvi,125545
2024,Asia Pacific,Isuzu D-Max,107475
2024,Asia Pacific,Toyota Vios,92298
2024,Asia Pacific,Honda HR-V,91572
2024,Canada,Ford F-Series,133857
2024,Canada,Toyota RAV4,77556
2024,Canada,GMC Sierra,60188
2024,Canada,Ram 1500/Heavy Duty,56992
2024,Canada,Honda CR-V,55363
2024,Eastern Europe,Dacia Sandero,274702
2024,Eastern Europe,Renault Clio,273354
2024,Eastern Europe,Volkswagen Golf,230605
2024,Eastern Europe,Volkswagen T-Roc,221712
2024,Eastern Europe,Tesla Model Y,215851
2024,India,Tata Punch,202000
2024,India,Maruti Suzuki Wagon R,191000
2024,India,Maruti Suzuki Ertiga,190000
2024,India,Maruti Suzuki Brezza,188000
2024,India,Hyundai Creta,187000
2024,Latin America,Volkswagen Polo,166549
2024,Latin America,Fiat Strada,153781
2024,Latin America,Chevrolet Onix,128589
2024,Latin America,Toyota Hilux,121967
2024,Latin America,Nissan Versa,110173
2024,Mexico,Nissan Versa,93278
2024,Mexico,Nissan NP300,59031
2024,Mexico,Chevrolet Aveo,58503
2024,Mexico,Kia K3,51629
2024,Mexico,Volkswagen Virtus,30945
2024,Middle East,Nissan Patrol,22400
2024,Middle East,Nissan Sunny,21900
2024,Middle East,Toyota Hilux,19915
2024,Middle East,Toyota Land Cruiser,12530
2024,Middle East,Tesla Model 3,6500
2024,U.S.A,Toyota RAV4,475193
2024,U.S.A,Ford F-Series,460915
2024,U.S.A,Honda CR-V,402791
2024,U.S.A,Tesla Model Y,405900
2024,U.S.A,Chevrolet Silverado 1500,344022
2024,Europe,Dacia Sandero,288800
2024,Europe,Renault Clio,215700
2024,Europe,Volkswagen Golf,215700
2024,Europe,Tesla Model Y,200000
2024,Europe,Volkswagen T-Roc,195000
2025,Africa,Suzuki Swift,2628
2025,Africa,Toyota Hilux,2557
2025,Africa,Volkswagen Polo Vivo,2549
2025,Africa,Toyota Corolla Cross,2112
2025,Africa,Isuzu D-Max,1890
2025,Eastern Europe,Dacia Sandero,21731
2025,Eastern Europe,Dacia Duster,19015
2025,Eastern Europe,Volkswagen Golf,18822
2025,Eastern Europe,Toyota Yaris,17500
2025,Eastern Europe,Renault Clio,16800
2025,Latin America,Fiat Strada,8765
2025,Latin America,Volkswagen Polo,5737
2025,Latin America,Chevrolet Onix,5432
2025,Latin America,Hyundai HB20,4980
2025,Latin America,Jeep Renegade,4500
2025,Mexico,Nissan Versa,8407
2025,Mexico,Chevrolet Aveo,4658
2025,Mexico,Nissan NP300,4185
2025,Mexico,Kia Rio,3900
2025,Mexico,MG5,3750
2025,India,Nissan Versa,8407
2025,India,Chevrolet Aveo,4658
2025,India,Nissan NP300,4185
2025,India,Kia Rio,3900
2025,India,MG5,3750
2025,U.S.A,Ford F-Series,52455
2025,U.S.A,Toyota RAV4,36251
2025,U.S.A,Chevrolet Silverado,34970
2025,U.S.A,Tesla Model Y,31800
2025,U.S.A,Ram Pickup,28500
2025,Asia Pacific,Toyota Hilux,39200
2025,Asia Pacific,Toyota RAV4,36250
2025,Asia Pacific,Ford Ranger,28500
2025,Asia Pacific,Toyota Corolla,27800
2025,Asia Pacific,Honda CR-V,24300
2025,China,BYD Song PLUS DM,41212
2025,China,Changan CS75,37881
2025,China,Geely Xingyue L,29995
2025,China,Geely Xingyuan,28146
2025,China,Tesla Model Y,25694
2025,Canada,Ford F-Series,9094
2025,Canada,Chevrolet Equinox,4635
2025,Canada,Toyota RAV4,3567
2025,Canada,Honda CR-V,3417
2025,Canada,Nissan Kicks,3214
2025,Europe,Dacia Sandero,21731
2025,Europe,Dacia Duster,19015
2025,Europe,Volkswagen Golf,18822
2025,Europe,Volkswagen T-Roc,18248
2025,Europe,Renault Clio,16995
2025,Middle East,Nissan Patrol,22400
2025,Middle East,Nissan Sunny,21900
2025,Middle East,Toyota Hilux,19915
2025,Middle East,Toyota Land Cruiser,12530
2025,Middle East,Tesla Model 3,6500
