차종,차량 구분,거래 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
Morning,일반 차량,국내,1813,2049,2127,2164,2502,2245,2033,2910,1892,2225,2111,1808,2023
Ray,일반 차량,국내,3585,4268,4155,4158,4576,4372,4285,4402,3464,4824,4587,4254,2023
K3,일반 차량,국내,950,1024,1197,670,975,1540,976,1123,1036,939,1428,1346,2023
K5,일반 차량,국내,2560,2653,3421,2739,3166,2963,2246,2613,2280,2592,3783,3563,2023
Stinger,일반 차량,국내,113,120,143,61,45,1,0,0,0,0,0,0,2023
K7 / K8,일반 차량,국내,3451,4168,4569,4011,4487,4469,3513,2457,2406,2248,2799,1859,2023
K9,일반 차량,국내,431,301,432,422,310,366,372,347,232,226,236,223,2023
Seltos,일반 차량,국내,3366,5552,3891,4119,4792,5224,4770,3512,4399,3008,4446,3758,2023
Niro,일반 차량,국내,1269,1588,2219,2120,1990,1992,1614,1694,1681,1595,1541,1256,2023
Niro Plus,일반 차량,국내,0,292,460,475,462,298,303,115,103,218,120,70,2023
EV6,일반 차량,국내,0,1951,3009,2694,1894,1379,1398,948,601,1564,1096,693,2023
Sportage,일반 차량,국내,5492,5689,6018,6282,6185,6418,6625,5210,5402,4707,5982,5739,2023
Sorento,일반 차량,국내,4611,4745,6890,6835,6499,6978,5678,7176,10190,8777,9364,8068,2023
Mohave,일반 차량,국내,482,504,710,483,318,510,459,379,317,293,313,252,2023
EV9,일반 차량,국내,0,0,0,0,0,1334,1251,408,1163,833,375,2688,2023
Carnival,일반 차량,국내,6904,6039,6873,6481,6695,6358,6109,4937,4366,3933,5857,5305,2023
Bongo,일반 차량,국내,3580,8977,6806,5258,5269,4435,5665,3892,4480,4887,5855,3815,2023
Bus,일반 차량,국내,71,96,126,114,110,120,127,102,111,91,129,106,2023
Millitary,특수 차량,국내,75,89,112,228,89,136,83,109,287,294,300,364,2023
Bongo,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2023
Bus,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2023
Morning / Picanto,일반 차량,수출,11149,13902,14822,12906,13604,12442,8568,6352,6053,6589,7520,7756,2023
Pride / Rio,일반 차량,수출,5243,5451,6127,5022,4514,427,0,0,0,0,0,0,2023
K3,일반 차량,수출,1410,1619,2259,1453,1097,1039,1315,1570,2149,1787,3528,2200,2023
K5 / Optima,일반 차량,수출,1526,1710,1407,1195,1366,1135,1797,2168,1433,2780,1158,492,2023
Stinger,일반 차량,수출,1618,1192,1219,933,56,12,0,0,0,6,0,0,2023
