공장명(국가),공장 코드,차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
US Plant,KaGA,Optima / K5,5701,6150,6635,5652,6396,5050,4771,6853,6150,6550,5900,3445,2023
US Plant,KaGA,Sportage,6400,7950,9129,7358,8424,6142,5900,8450,7350,8150,7600,6150,2023
US Plant,KaGA,Sorento,6795,5330,5385,6184,7368,6416,5513,7491,6602,7097,6100,4825,2023
US Plant,KaGA,Telluride,9704,10400,11851,10206,11212,8792,8216,12313,10698,11903,10300,7850,2023
China Plant,DYK,Pegas,3320,3436,3504,3465,3710,3548,3572,5866,7042,4121,5645,4495,2023
China Plant,DYK,K2,0,0,0,0,0,0,0,0,0,0,0,0,2023
China Plant,DYK,Cerato,0,0,0,0,0,0,0,0,0,0,0,0,2023
China Plant,DYK,Forte,588,1897,1935,2401,2353,2508,1989,2391,2437,2582,2262,1986,2023
China Plant,DYK,K3,623,954,613,276,384,272,358,412,580,364,501,1704,2023
China Plant,DYK,K4,0,0,0,0,0,0,0,0,0,0,0,0,2023
China Plant,DYK,K5,191,139,152,601,277,177,162,160,154,180,88,129,2023
China Plant,DYK,KX1,623,975,834,515,372,923,621,678,890,1158,971,820,2023
China Plant,DYK,KX3,1183,760,807,936,731,6278,6994,4994,2794,6526,6381,6835,2023
China Plant,DYK,Zhipao,1879,1366,783,539,728,724,454,550,612,544,339,407,2023
China Plant,DYK,EV5,0,0,0,0,0,0,0,0,0,21,352,1096,2023
China Plant,DYK,KX5,312,351,869,960,918,959,1353,1131,1774,1392,1544,1187,2023
China Plant,DYK,KX7,0,0,0,0,0,0,0,0,0,0,0,0,2023
China Plant,DYK,Carnival,38,56,97,142,140,175,320,221,291,235,141,123,2023
Slovakia Plant,KaSK,C'eed,8434,7605,8496,7763,9011,8634,5532,6755,7488,8995,7765,5899,2023
Slovakia Plant,KaSK,C'eed CUV,5774,3829,4132,3221,3223,4763,2900,3993,3749,4292,3950,2948,2023
Slovakia Plant,KaSK,Sportage,15308,18166,21572,15724,19675,20143,13375,16856,17363,19715,18685,14553,2023
Mexico Plant,KMX,Rio(pride),9070,8789,8822,7793,8250,8629,7348,8609,8678,7402,7715,6729,2023
Mexico Plant,KMX,K3,14634,11417,11677,10719,13966,14171,11865,15019,14524,14675,12785,8711,2023
Mexico Plant,KMX,Accent (HC),0,0,0,0,0,0,0,0,0,0,0,0,2023
India Plant,KIN,Sonet,11593,12953,11040,13950,11132,12888,8755,7994,9093,8889,8367,978,2023
India Plant,KIN,Seltos,13982,11563,9786,10077,6428,6422,10828,11198,10999,12589,12568,10268,2023
India Plant,KIN,Carens MPV,8664,6986,6709,6822,7131,8755,6823,5293,4789,6088,5205,3070,2023
India Plant,KIN,Carnival (CKD),1003,504,168,0,0,0,0,0,0,0,0,0,2023
US Plant,KaGA,K5,1286,30,4,15,2,0,0,0,0,0,0,0,2024
US Plant,KaGA,Sportage,8100,9920,9546,10735,10048,9300,8800,11520,10350,11150,9000,6720,2024
US Plant,KaGA,Sorento,6442,9849,10049,10150,10449,8650,8249,9380,9237,10520,7972,4718,2024
US Plant,KaGA,Telluride,9172,10901,10401,11500,11401,10050,9851,12190,11302,12300,10118,8192,2024
US Plant,KaGA,EV9,0,0,0,0,0,0,0,10,11,130,1210,1170,2024
China Plants,DYK,Pegas,5120,3607,3340,3946,3812,5280,4699,5902,6111,6303,6455,5934,2024
China Plants,DYK,Forte,2227,1780,3438,1737,1093,1102,1219,786,953,970,1564,1880,2024
China Plants,DYK,K3,138,758,979,1583,1304,1472,1035,969,791,638,230,314,2024
China Plants,DYK,K4,0,0,0,0,0,0,0,0,0,0,0,0,2024
China Plants,DYK,K5,92,59,149,510,1202,953,1157,338,282,260,484,614,2024
China Plants,DYK,KX1,396,377,470,383,271,555,381,505,586,805,1404,1596,2024
China Plants,DYK,Sonet,910,3212,4372,4546,4230,3235,4253,4359,3910,4164,3378,4480,2024
China Plants,DYK,KX3,4596,3794,4298,4720,4250,4198,4871,4960,4290,5865,6496,4369,2024
China Plants,DYK,Zhipao,490,298,230,66,32,117,112,157,145,442,477,234,2024
China Plants,DYK,EV5,763,165,323,1182,1732,881,948,1385,1199,1259,821,738,2024
China Plants,DYK,KX5,1446,938,927,992,1001,2672,3295,2951,3559,2850,2792,3722,2024
China Plants,DYK,Carnival,144,62,139,142,156,187,181,186,132,134,179,165,2024
Slovakia Plant,KaSK,C'eed,9009,8481,8289,7959,7533,7426,6685,5916,7935,8700,7268,5818,2024
Slovakia Plant,KaSK,C'eed CUV,4032,3668,3080,3448,3641,3459,3036,1985,3021,3489,3135,2354,2024
Slovakia Plant,KaSK,Sportage,20059,19558,18931,20099,20926,18785,17779,13799,20344,21311,18698,11628,2024
Mexico Plant,KMX,Rio(pride),15,72,0,108,0,0,0,0,0,0,0,0,2024
Mexico Plant,KMX,K3,19585,19778,19796,22797,22895,21150,19525,12058,6170,5476,5517,5832,2024
Mexico Plant,KMX,K4,0,0,0,10,3,20,2,12325,16329,18439,16824,13274,2024
Mexico Plant,KMX,Tucson(NX4),0,0,0,0,0,809,2378,2821,2637,3048,2700,2097,2024
India Plant,KIN,Sonet,11843,9240,8829,8821,8270,11212,10199,11390,11564,11126,10626,4567,2024
India Plant,KIN,Seltos,6695,6825,8568,7298,7218,7024,6279,6929,7232,6544,5643,3211,2024
India Plant,KIN,Carens MPV,6536,5440,5704,6048,6300,6246,6512,6775,6721,6820,6093,3165,2024
India Plant,KIN,Carnival,0,0,0,0,0,0,0,0,0,255,241,103,2024
US Plant,KaGA,K5,0,0,0,0,0,0,0,0,0,0,0,0,2025
US Plant,KaGA,Sportage,9247,0,0,0,0,0,0,0,0,0,0,0,2025
US Plant,KaGA,Sorento,8300,0,0,0,0,0,0,0,0,0,0,0,2025
US Plant,KaGA,Telluride,10350,0,0,0,0,0,0,0,0,0,0,0,2025
US Plant,KaGA,EV6,103,0,0,0,0,0,0,0,0,0,0,0,2025
US Plant,KaGA,EV9,300,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,Pegas,3638,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,Forte,1134,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,K3,401,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,K5,361,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,KX1,1510,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,Sonet,2397,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,KX3,3446,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,Zhipao,139,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,EV5,699,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,KX5,1875,0,0,0,0,0,0,0,0,0,0,0,2025
China Plants,DYK,Carnival,99,0,0,0,0,0,0,0,0,0,0,0,2025
Slovakia Plant,KaSK,C'eed,10261,0,0,0,0,0,0,0,0,0,0,0,2025
Slovakia Plant,KaSK,C'eed CUV,2194,0,0,0,0,0,0,0,0,0,0,0,2025
Slovakia Plant,KaSK,Sportage,15245,0,0,0,0,0,0,0,0,0,0,0,2025
Mexico Plant,KMX,Rio(pride),0,0,0,0,0,0,0,0,0,0,0,0,2025
Mexico Plant,KMX,K3,5207,0,0,0,0,0,0,0,0,0,0,0,2025
Mexico Plant,KMX,K4,15456,0,0,0,0,0,0,0,0,0,0,0,2025
Mexico Plant,KMX,Tucson(NX4),2000,0,0,0,0,0,0,0,0,0,0,0,2025
India Plant,KIN,Syros,5546,0,0,0,0,0,0,0,0,0,0,0,2025
India Plant,KIN,Sonet,8259,0,0,0,0,0,0,0,0,0,0,0,2025
India Plant,KIN,Seltos,6584,0,0,0,0,0,0,0,0,0,0,0,2025
India Plant,KIN,Carens MPV,5797,0,0,0,0,0,0,0,0,0,0,0,2025
India Plant,KIN,Carnival,293,0,0,0,0,0,0,0,0,0,0,0,2025
