국가,연도,월,y,ds
기타,2025,1,46,2025-01-01
동유럽,2023,1,2535,2023-01-01
동유럽,2023,2,3074,2023-02-01
동유럽,2023,3,2598,2023-03-01
동유럽,2023,4,3904,2023-04-01
동유럽,2023,5,3768,2023-05-01
동유럽,2023,6,3637,2023-06-01
동유럽,2023,7,3578,2023-07-01
동유럽,2023,8,3368,2023-08-01
동유럽,2023,9,2604,2023-09-01
동유럽,2023,10,3321,2023-10-01
동유럽,2023,11,3165,2023-11-01
동유럽,2023,12,2721,2023-12-01
동유럽,2024,1,2373,2024-01-01
동유럽,2024,2,3515,2024-02-01
동유럽,2024,3,3637,2024-03-01
동유럽,2024,4,3826,2024-04-01
동유럽,2024,5,2186,2024-05-01
동유럽,2024,6,2648,2024-06-01
동유럽,2024,7,2140,2024-07-01
동유럽,2024,8,2585,2024-08-01
동유럽,2024,9,4095,2024-09-01
동유럽,2024,10,4044,2024-10-01
동유럽,2024,11,3273,2024-11-01
동유럽,2024,12,2953,2024-12-01
동유럽,2025,1,3025,2025-01-01
북미-멕시코,2023,1,8,2023-01-01
북미-멕시코,2023,2,82,2023-02-01
북미-멕시코,2023,3,57,2023-03-01
북미-멕시코,2023,4,45,2023-04-01
북미-멕시코,2023,5,69,2023-05-01
북미-멕시코,2023,6,31,2023-06-01
북미-멕시코,2023,7,202,2023-07-01
북미-멕시코,2023,8,216,2023-08-01
북미-멕시코,2023,9,75,2023-09-01
북미-멕시코,2023,10,130,2023-10-01
북미-멕시코,2023,11,200,2023-11-01
북미-멕시코,2023,12,112,2023-12-01
북미-멕시코,2024,1,60,2024-01-01
북미-멕시코,2024,2,51,2024-02-01
북미-멕시코,2024,3,287,2024-03-01
북미-멕시코,2024,4,373,2024-04-01
북미-멕시코,2024,5,194,2024-05-01
북미-멕시코,2024,6,150,2024-06-01
북미-멕시코,2024,7,143,2024-07-01
북미-멕시코,2024,8,146,2024-08-01
북미-멕시코,2024,9,189,2024-09-01
북미-멕시코,2024,10,153,2024-10-01
북미-멕시코,2024,11,121,2024-11-01
북미-멕시코,2024,12,72,2024-12-01
북미-멕시코,2025,1,29,2025-01-01
북미-미국,2023,1,33157,2023-01-01
북미-미국,2023,2,44040,2023-02-01
북미-미국,2023,3,44161,2023-03-01
북미-미국,2023,4,43894,2023-04-01
북미-미국,2023,5,51132,2023-05-01
북미-미국,2023,6,47682,2023-06-01
북미-미국,2023,7,46768,2023-07-01
북미-미국,2023,8,46840,2023-08-01
북미-미국,2023,9,49241,2023-09-01
북미-미국,2023,10,57589,2023-10-01
북미-미국,2023,11,58435,2023-11-01
북미-미국,2023,12,58183,2023-12-01
북미-미국,2024,1,55421,2024-01-01
북미-미국,2024,2,43704,2024-02-01
북미-미국,2024,3,57669,2024-03-01
북미-미국,2024,4,63939,2024-04-01
북미-미국,2024,5,62068,2024-05-01
북미-미국,2024,6,55809,2024-06-01
북미-미국,2024,7,44859,2024-07-01
북미-미국,2024,8,52389,2024-08-01
북미-미국,2024,9,45941,2024-09-01
북미-미국,2024,10,52255,2024-10-01
북미-미국,2024,11,45782,2024-11-01
북미-미국,2024,12,57802,2024-12-01
북미-미국,2025,1,41454,2025-01-01
북미-캐나다,2023,1,9824,2023-01-01
북미-캐나다,2023,2,11958,2023-02-01
북미-캐나다,2023,3,11464,2023-03-01
북미-캐나다,2023,4,10792,2023-04-01
북미-캐나다,2023,5,10478,2023-05-01
북미-캐나다,2023,6,11495,2023-06-01
북미-캐나다,2023,7,8383,2023-07-01
북미-캐나다,2023,8,6155,2023-08-01
북미-캐나다,2023,9,6143,2023-09-01
북미-캐나다,2023,10,9776,2023-10-01
북미-캐나다,2023,11,10729,2023-11-01
북미-캐나다,2023,12,11805,2023-12-01
북미-캐나다,2024,1,11189,2024-01-01
북미-캐나다,2024,2,9437,2024-02-01
북미-캐나다,2024,3,11914,2024-03-01
북미-캐나다,2024,4,10738,2024-04-01
북미-캐나다,2024,5,10512,2024-05-01
북미-캐나다,2024,6,12175,2024-06-01
북미-캐나다,2024,7,10867,2024-07-01
북미-캐나다,2024,8,8529,2024-08-01
북미-캐나다,2024,9,10163,2024-09-01
북미-캐나다,2024,10,12632,2024-10-01
북미-캐나다,2024,11,9098,2024-11-01
북미-캐나다,2024,12,10807,2024-12-01
북미-캐나다,2025,1,10472,2025-01-01
서유럽,2023,1,11076,2023-01-01
서유럽,2023,2,16301,2023-02-01
서유럽,2023,3,15075,2023-03-01
서유럽,2023,4,14597,2023-04-01
서유럽,2023,5,15214,2023-05-01
서유럽,2023,6,16161,2023-06-01
서유럽,2023,7,11847,2023-07-01
서유럽,2023,8,9645,2023-08-01
서유럽,2023,9,9535,2023-09-01
서유럽,2023,10,10378,2023-10-01
서유럽,2023,11,9522,2023-11-01
서유럽,2023,12,9637,2023-12-01
서유럽,2024,1,9697,2024-01-01
서유럽,2024,2,9977,2024-02-01
서유럽,2024,3,10436,2024-03-01
서유럽,2024,4,12855,2024-04-01
서유럽,2024,5,9898,2024-05-01
서유럽,2024,6,9768,2024-06-01
서유럽,2024,7,8614,2024-07-01
서유럽,2024,8,7923,2024-08-01
서유럽,2024,9,7781,2024-09-01
서유럽,2024,10,10543,2024-10-01
서유럽,2024,11,11755,2024-11-01
서유럽,2024,12,12842,2024-12-01
서유럽,2025,1,12315,2025-01-01
아시아,2023,1,11288,2023-01-01
아시아,2023,2,7295,2023-02-01
아시아,2023,3,8997,2023-03-01
아시아,2023,4,10570,2023-04-01
아시아,2023,5,10678,2023-05-01
아시아,2023,6,10496,2023-06-01
아시아,2023,7,10563,2023-07-01
아시아,2023,8,9940,2023-08-01
아시아,2023,9,4984,2023-09-01
아시아,2023,10,10793,2023-10-01
아시아,2023,11,7556,2023-11-01
아시아,2023,12,7712,2023-12-01
아시아,2024,1,6891,2024-01-01
아시아,2024,2,6057,2024-02-01
아시아,2024,3,7161,2024-03-01
아시아,2024,4,8351,2024-04-01
아시아,2024,5,7760,2024-05-01
아시아,2024,6,9011,2024-06-01
아시아,2024,7,7822,2024-07-01
아시아,2024,8,8918,2024-08-01
아시아,2024,9,10004,2024-09-01
아시아,2024,10,7142,2024-10-01
아시아,2024,11,6838,2024-11-01
아시아,2024,12,7324,2024-12-01
아시아,2025,1,6294,2025-01-01
중남미,2023,1,3896,2023-01-01
중남미,2023,2,5092,2023-02-01
중남미,2023,3,4954,2023-03-01
중남미,2023,4,5758,2023-04-01
중남미,2023,5,4294,2023-05-01
중남미,2023,6,5538,2023-06-01
중남미,2023,7,4700,2023-07-01
중남미,2023,8,4796,2023-08-01
중남미,2023,9,4068,2023-09-01
중남미,2023,10,5022,2023-10-01
중남미,2023,11,3691,2023-11-01
중남미,2023,12,4547,2023-12-01
중남미,2024,1,4772,2024-01-01
중남미,2024,2,4206,2024-02-01
중남미,2024,3,4805,2024-03-01
중남미,2024,4,4592,2024-04-01
중남미,2024,5,3392,2024-05-01
중남미,2024,6,4433,2024-06-01
중남미,2024,7,3766,2024-07-01
중남미,2024,8,3946,2024-08-01
중남미,2024,9,5439,2024-09-01
중남미,2024,10,4341,2024-10-01
중남미,2024,11,3448,2024-11-01
중남미,2024,12,5599,2024-12-01
중남미,2025,1,4157,2025-01-01
중동·아프리카,2023,1,10427,2023-01-01
중동·아프리카,2023,2,10128,2023-02-01
중동·아프리카,2023,3,12760,2023-03-01
중동·아프리카,2023,4,11043,2023-04-01
중동·아프리카,2023,5,9118,2023-05-01
중동·아프리카,2023,6,8908,2023-06-01
중동·아프리카,2023,7,9410,2023-07-01
중동·아프리카,2023,8,8890,2023-08-01
중동·아프리카,2023,9,5963,2023-09-01
중동·아프리카,2023,10,8258,2023-10-01
중동·아프리카,2023,11,6651,2023-11-01
중동·아프리카,2023,12,8346,2023-12-01
중동·아프리카,2024,1,9074,2024-01-01
중동·아프리카,2024,2,6530,2024-02-01
중동·아프리카,2024,3,8131,2024-03-01
중동·아프리카,2024,4,9320,2024-04-01
중동·아프리카,2024,5,9390,2024-05-01
중동·아프리카,2024,6,9522,2024-06-01
중동·아프리카,2024,7,10005,2024-07-01
중동·아프리카,2024,8,6314,2024-08-01
중동·아프리카,2024,9,7645,2024-09-01
중동·아프리카,2024,10,9330,2024-10-01
중동·아프리카,2024,11,8768,2024-11-01
중동·아프리카,2024,12,8388,2024-12-01
중동·아프리카,2025,1,7909,2025-01-01
