Plant,Model,Month,Sales
US Plant,K5,23-01,5701.0
US Plant,Sportage,23-01,6400.0
US Plant,Sorento,23-01,6795.0
US Plant,Telluride,23-01,9704.0
China Plant,Pegas,23-01,3320.0
China Plant,K2,23-01,0.0
China Plant,Cerato,23-01,0.0
China Plant,K3,23-01,588.0
China Plant,K3,23-01,623.0
China Plant,K4,23-01,0.0
China Plant,K5,23-01,191.0
China Plant,KX1,23-01,623.0
China Plant,KX3,23-01,1183.0
China Plant,Zhipao,23-01,1879.0
China Plant,EV5,23-01,0.0
China Plant,KX5,23-01,312.0
China Plant,KX7,23-01,0.0
China Plant,Carnival,23-01,38.0
Slovakia Plant,Ceed,23-01,8434.0
Slovakia Plant,Ceed CUV,23-01,5774.0
Slovakia Plant,Sportage,23-01,15308.0
Mexico Plant,Rio,23-01,9070.0
Mexico Plant,K3,23-01,14634.0
Mexico Plant,Accent,23-01,0.0
India Plant,Sonet,23-01,11593.0
India Plant,Seltos,23-01,13982.0
India Plant,Carens,23-01,8664.0
India Plant,Carnival,23-01,1003.0
US Plant,K5,23-01,0.0
US Plant,Sportage,23-01,0.0
US Plant,Sorento,23-01,0.0
US Plant,Telluride,23-01,0.0
US Plant,EV9,23-01,0.0
China Plants,Pegas,23-01,0.0
China Plants,K3,23-01,0.0
China Plants,K3,23-01,0.0
China Plants,K4,23-01,0.0
China Plants,K5,23-01,0.0
China Plants,KX1,23-01,0.0
China Plants,Sonet,23-01,0.0
China Plants,KX3,23-01,0.0
China Plants,Zhipao,23-01,0.0
China Plants,EV5,23-01,0.0
China Plants,KX5,23-01,0.0
China Plants,Carnival,23-01,0.0
Slovakia Plant,Ceed,23-01,0.0
Slovakia Plant,Ceed CUV,23-01,0.0
Slovakia Plant,Sportage,23-01,0.0
Mexico Plant,Rio,23-01,0.0
Mexico Plant,K3,23-01,0.0
Mexico Plant,K4,23-01,0.0
Mexico Plant,Tucson,23-01,0.0
India Plant,Sonet,23-01,0.0
India Plant,Seltos,23-01,0.0
India Plant,Carens,23-01,0.0
India Plant,Carnival,23-01,0.0
US Plant,K5,23-01,0.0
US Plant,Sportage,23-01,0.0
US Plant,Sorento,23-01,0.0
US Plant,Telluride,23-01,0.0
US Plant,EV6,23-01,0.0
US Plant,EV9,23-01,0.0
China Plants,Pegas,23-01,0.0
China Plants,K3,23-01,0.0
China Plants,K3,23-01,0.0
China Plants,K5,23-01,0.0
China Plants,KX1,23-01,0.0
China Plants,Sonet,23-01,0.0
China Plants,KX3,23-01,0.0
China Plants,Zhipao,23-01,0.0
China Plants,EV5,23-01,0.0
China Plants,KX5,23-01,0.0
China Plants,Carnival,23-01,0.0
Slovakia Plant,Ceed,23-01,0.0
Slovakia Plant,Ceed CUV,23-01,0.0
Slovakia Plant,Sportage,23-01,0.0
Mexico Plant,Rio,23-01,0.0
Mexico Plant,K3,23-01,0.0
Mexico Plant,K4,23-01,0.0
Mexico Plant,Tucson,23-01,0.0
India Plant,Syros,23-01,0.0
India Plant,Sonet,23-01,0.0
India Plant,Seltos,23-01,0.0
India Plant,Carens,23-01,0.0
India Plant,Carnival,23-01,0.0
US Plant,K5,23-02,6150.0
US Plant,Sportage,23-02,7950.0
US Plant,Sorento,23-02,5330.0
US Plant,Telluride,23-02,10400.0
China Plant,Pegas,23-02,3436.0
China Plant,K2,23-02,0.0
China Plant,Cerato,23-02,0.0
China Plant,K3,23-02,1897.0
China Plant,K3,23-02,954.0
China Plant,K4,23-02,0.0
China Plant,K5,23-02,139.0
China Plant,KX1,23-02,975.0
China Plant,KX3,23-02,760.0
China Plant,Zhipao,23-02,1366.0
China Plant,EV5,23-02,0.0
China Plant,KX5,23-02,351.0
China Plant,KX7,23-02,0.0
China Plant,Carnival,23-02,56.0
Slovakia Plant,Ceed,23-02,7605.0
Slovakia Plant,Ceed CUV,23-02,3829.0
Slovakia Plant,Sportage,23-02,18166.0
Mexico Plant,Rio,23-02,8789.0
Mexico Plant,K3,23-02,11417.0
Mexico Plant,Accent,23-02,0.0
India Plant,Sonet,23-02,12953.0
