Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China,Korea
Morning,Korean Plant,23-01,0.0,0.0,0.0,5518.0,174.0,1452.0,1110.0,1073.0,459.0,0.0,0.0,0.0
Rio,Korean Plant,23-01,0.0,0.0,0.0,3130.0,61.0,68.0,347.0,512.0,608.0,0.0,0.0,0.0
K3,Korean Plant,23-01,0.0,95.0,57.0,0.0,171.0,13.0,175.0,5.0,333.0,0.0,0.0,0.0
K5,Korean Plant,23-01,0.0,0.0,0.0,0.0,774.0,0.0,1116.0,1.0,3.0,0.0,0.0,0.0
Stinger,Korean Plant,23-01,466.0,22.0,10.0,101.0,10.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0
K8,Korean Plant,23-01,0.0,0.0,0.0,0.0,27.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0
K9,Korean Plant,23-01,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stonic,Korean Plant,23-01,0.0,0.0,0.0,4580.0,146.0,148.0,498.0,97.0,540.0,0.0,0.0,0.0
Seltos,Korean Plant,23-01,3994.0,984.0,0.0,0.0,368.0,363.0,657.0,0.0,620.0,0.0,0.0,0.0
Soul,Korean Plant,23-01,4844.0,420.0,381.0,0.0,123.0,220.0,1.0,0.0,4.0,0.0,0.0,0.0
Soul,Korean Plant,23-01,0.0,25.0,0.0,190.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Niro,Korean Plant,23-01,2615.0,0.0,110.0,4195.0,14.0,46.0,9.0,18.0,148.0,0.0,0.0,0.0
Niro,Korean Plant,23-01,1098.0,0.0,0.0,2914.0,8.0,6.0,0.0,6.0,95.0,0.0,0.0,0.0
Niro,Korean Plant,23-01,0.0,0.0,0.0,0.0,0.0,0.0,993.0,3.0,111.0,0.0,0.0,0.0
Niro,Korean Plant,23-01,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,39.0,0.0,0.0,0.0
EV6,Korean Plant,23-01,1110.0,75.0,0.0,2346.0,7.0,0.0,74.0,17.0,320.0,29.0,0.0,0.0
EV9,Korean Plant,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,Korean Plant,23-01,2049.0,776.0,0.0,0.0,1094.0,824.0,0.0,0.0,2077.0,0.0,0.0,0.0
Sorento,Korean Plant,23-01,1220.0,22.0,0.0,1126.0,501.0,216.0,1374.0,67.0,1242.0,0.0,0.0,0.0
Mohave / Borrego,Korean Plant,23-01,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,Korean Plant,23-01,1662.0,297.0,0.0,0.0,40.0,91.0,175.0,12.0,1660.0,0.0,0.0,0.0
Bongo,Korean Plant,23-01,0.0,0.0,0.0,0.0,8.0,823.0,1162.0,185.0,163.0,0.0,0.0,0.0
Bus,Korean Plant,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceed,Slovakia Plant,23-01,0.0,0.0,0.0,6925.0,502.0,0.0,58.0,12.0,0.0,0.0,0.0,0.0
Ceed CUV,Slovakia Plant,23-01,0.0,0.0,0.0,3750.0,62.0,5.0,1.0,66.0,0.0,0.0,0.0,0.0
Sportage,Slovakia Plant,23-01,0.0,0.0,0.0,11329.0,602.0,455.0,2199.0,456.0,0.0,0.0,0.0,0.0
Rio,Mexico Plant,23-01,2184.0,463.0,4050.0,0.0,0.0,831.0,89.0,1.0,0.0,0.0,0.0,0.0
K3,Mexico Plant,23-01,8190.0,1068.0,991.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0
Rio,Russia Plant(incl. CKD Sales),23-01,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K3 (CKD),Russia Plant(incl. CKD Sales),23-01,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soul,Russia Plant(incl. CKD Sales),23-01,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seltos,Russia Plant(incl. CKD Sales),23-01,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,Russia Plant(incl. CKD Sales),23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K5,US Plant,23-01,3368.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,US Plant,23-01,6553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,US Plant,23-01,5048.0,591.0,227.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
Telluride,US Plant,23-01,7582.0,316.0,0.0,0.0,0.0,12.0,106.0,0.0,3.0,0.0,0.0,0.0
Pegas,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,1555.0,1292.0,271.0,124.0,0.0,26.0,0.0
K3,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,0.0
K3,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,0.0
K5,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0
KX1,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,594.0,0.0
KX3,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,0.0
Zhipao,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.0,0.0
Sportage,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0
KX7,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
Sonet,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seltos,China Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonet,India Plants,23-01,0.0,0.0,0.0,0.0,0.0,883.0,644.0,353.0,195.0,6592.0,0.0,0.0
Seltos,India Plants,23-01,0.0,0.0,1679.0,0.0,0.0,954.0,307.0,441.0,114.0,6872.0,0.0,0.0
Carens,India Plants,23-01,0.0,0.0,0.0,0.0,0.0,314.0,137.0,49.0,54.0,5582.0,0.0,0.0
Carnival,India Plants,23-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0
Morning,CKD (excl. Russia),23-01,124.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,20.0,0.0,0.0
Pegas,CKD (excl. Russia),23-01,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
K3,CKD (excl. Russia),23-01,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0
