국가명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
북미-미국,24115,13005,18766,20264,18915,17323,24809,22290,19626,21640,25130,25275,2022
북미-캐나다,3205,3835,3759,2974,4683,2279,4150,3804,2714,3671,4311,4785,2022
서유럽,24586,20535,17997,17796,23696,19437,26706,17272,20555,22962,23973,24524,2022
동유럽,11827,7423,3396,3714,3324,3564,5273,4235,3314,3947,4643,4604,2022
중남미,5295,4873,6499,7537,6988,6359,7160,6709,6253,6036,5305,5880,2022
중동·아프리카,9137,9740,13581,10432,11003,10257,12583,9035,9596,10832,12476,14557,2022
아시아,13074,10644,16063,17165,19551,12587,20496,14244,12509,15289,15676,13320,2022
북미-미국,18627,22593,27448,30943,17623,23438,22843,17357,17222,17093,20237,25520,2021
북미-캐나다,3560,5938,4483,4253,4154,3886,2534,2144,1915,1955,2741,1960,2021
서유럽,26832,19355,24945,22834,20584,18419,18735,17731,21038,16382,22449,23891,2021
동유럽,9131,11619,9267,12511,9037,11562,8003,9432,5974,7810,7198,10719,2021
중남미,4356,3278,5600,6172,5483,7014,6024,6405,5413,7975,5718,5425,2021
중동·아프리카,8985,9741,10102,10470,8569,11940,14104,9018,9381,9908,9693,14530,2021
아시아,12449,13816,13635,13216,11631,12461,11903,7413,9487,11276,10274,11110,2021
