국가명,연도,월,y,ds
북미-미국,2022,1,24115,2022-01-01
북미-미국,2022,2,13005,2022-02-01
북미-미국,2022,3,18766,2022-03-01
북미-미국,2022,4,20264,2022-04-01
북미-미국,2022,5,18915,2022-05-01
북미-미국,2022,6,17323,2022-06-01
북미-미국,2022,7,24809,2022-07-01
북미-미국,2022,8,22290,2022-08-01
북미-미국,2022,9,19626,2022-09-01
북미-미국,2022,10,21640,2022-10-01
북미-미국,2022,11,25130,2022-11-01
북미-미국,2022,12,25275,2022-12-01
북미-미국,2023,1,68208,2023-01-01
북미-미국,2023,2,60660,2023-02-01
북미-미국,2023,3,65224,2023-03-01
북미-미국,2023,4,58696,2023-04-01
북미-미국,2023,5,57526,2023-05-01
북미-미국,2023,6,52026,2023-06-01
북미-미국,2023,7,54472,2023-07-01
북미-미국,2023,8,45238,2023-08-01
북미-미국,2023,9,41938,2023-09-01
북미-미국,2023,10,49526,2023-10-01
북미-미국,2023,11,67902,2023-11-01
북미-미국,2023,12,61850,2023-12-01
북미-미국,2024,1,69486,2024-01-01
북미-미국,2024,2,57214,2024-02-01
북미-미국,2024,3,68418,2024-03-01
북미-미국,2024,4,84536,2024-04-01
북미-미국,2024,5,74208,2024-05-01
북미-미국,2024,6,71406,2024-06-01
북미-미국,2024,7,70258,2024-07-01
북미-미국,2024,8,65038,2024-08-01
북미-미국,2024,9,56094,2024-09-01
북미-미국,2024,10,60280,2024-10-01
북미-미국,2024,11,30114,2024-11-01
북미-미국,2024,12,47682,2024-12-01
북미-미국,2025,1,28515,2025-01-01
