ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-02-01,19258.66177806819,19525.40366925964,26348.977651656478,19258.607663607887,19258.718863320104,3596.813807156719,3596.813807156719,3596.813807156719,3596.813807156719,3596.813807156719,3596.813807156719,0.0,0.0,0.0,22855.47558522491
2025-03-01,19435.917004543026,19394.25900501329,26253.272368699854,19435.74446838598,19436.105179600327,3384.6508950047387,3384.6508950047387,3384.6508950047387,3384.6508950047387,3384.6508950047387,3384.6508950047387,0.0,0.0,0.0,22820.567899547765
2025-04-01,19632.163862425878,16887.861670212493,24293.14838341436,19631.79617990897,19632.53560561148,820.8812533846541,820.8812533846541,820.8812533846541,820.8812533846541,820.8812533846541,820.8812533846541,0.0,0.0,0.0,20453.04511581053
2025-05-01,19822.080176506053,16949.498903565942,24139.309444571594,19821.497616786546,19822.65943391879,635.5951964196282,635.5951964196282,635.5951964196282,635.5951964196282,635.5951964196282,635.5951964196282,0.0,0.0,0.0,20457.67537292568
2025-06-01,20018.3270343889,16322.151236292779,23421.483256182524,20017.506788151244,20019.177254604296,-181.48254425938845,-181.48254425938845,-181.48254425938845,-181.48254425938845,-181.48254425938845,-181.48254425938845,0.0,0.0,0.0,19836.84449012951
2025-07-01,20208.243348469077,17168.071020584586,24417.69411792429,20207.094518473194,20209.36065339421,536.9641646618408,536.9641646618408,536.9641646618408,536.9641646618408,536.9641646618408,536.9641646618408,0.0,0.0,0.0,20745.207513130918
2025-08-01,20404.49020635193,13171.868999784803,20449.360449790092,20403.060448728997,20405.935216449052,-3580.820840316739,-3580.820840316739,-3580.820840316739,-3580.820840316739,-3580.820840316739,-3580.820840316739,0.0,0.0,0.0,16823.66936603519
2025-09-01,20600.737064234778,13171.824759888714,20221.96309564543,20598.97693511088,20602.452830105085,-3873.854552897185,-3873.854552897185,-3873.854552897185,-3873.854552897185,-3873.854552897185,-3873.854552897185,0.0,0.0,0.0,16726.882511337593
2025-10-01,20790.653378314953,15502.735172189196,22563.9100750842,20788.60536928548,20792.785190724495,-1697.887528785571,-1697.887528785571,-1697.887528785571,-1697.887528785571,-1697.887528785571,-1697.887528785571,0.0,0.0,0.0,19092.765849529384
2025-11-01,20986.900236197805,15348.915444618078,22380.595215643032,20984.520253739214,20989.38794160691,-2195.4360622800978,-2195.4360622800978,-2195.4360622800978,-2195.4360622800978,-2195.4360622800978,-2195.4360622800978,0.0,0.0,0.0,18791.46417391771
2025-12-01,21176.81655027798,22843.64050210407,30097.281680259075,21174.105805699794,21179.772795916753,5257.787145827886,5257.787145827886,5257.787145827886,5257.787145827886,5257.787145827886,5257.787145827886,0.0,0.0,0.0,26434.603696105867
2026-01-01,21373.063408160833,14011.229927629922,21012.009384817855,21369.941282362077,21376.488738839867,-3929.116979993377,-3929.116979993377,-3929.116979993377,-3929.116979993377,-3929.116979993377,-3929.116979993377,0.0,0.0,0.0,17443.946428167455
2026-02-01,21569.310266043685,20248.43757921125,27191.37973696406,21565.774697301327,21573.17640426039,2171.09003728194,2171.09003728194,2171.09003728194,2171.09003728194,2171.09003728194,2171.09003728194,0.0,0.0,0.0,23740.400303325627
2026-03-01,21746.565492518515,22271.18934993465,29487.52380130544,21742.594022767167,21750.85928223881,3951.1068100263005,3951.1068100263005,3951.1068100263005,3951.1068100263005,3951.1068100263005,3951.1068100263005,0.0,0.0,0.0,25697.672302544815
2026-04-01,21942.812350401364,19481.62137535375,26537.679323339686,21938.42942833257,21947.65358364986,991.0274510282262,991.0274510282262,991.0274510282262,991.0274510282262,991.0274510282262,991.0274510282262,0.0,0.0,0.0,22933.83980142959
2026-05-01,22132.72866448154,19203.586424038545,26525.512968444567,22127.94103330282,22138.098835603716,760.2989149650983,760.2989149650983,760.2989149650983,760.2989149650983,760.2989149650983,760.2989149650983,0.0,0.0,0.0,22893.027579446636
2026-06-01,22328.97552236439,18014.670324441195,24800.073964762705,22323.826852305625,22334.88436153707,-907.1644697741586,-907.1644697741586,-907.1644697741586,-907.1644697741586,-907.1644697741586,-907.1644697741586,0.0,0.0,0.0,21421.811052590234
2026-07-01,22518.891836444567,18638.703165223804,25879.348095543988,22513.28169205652,22525.268368381687,-337.35264806583814,-337.35264806583814,-337.35264806583814,-337.35264806583814,-337.35264806583814,-337.35264806583814,0.0,0.0,0.0,22181.53918837873
