국가명,연도,월,y,ds
아시아,2021,1,12449,2021-01-01
중동·아프리카,2021,1,8985,2021-01-01
중남미,2021,1,4356,2021-01-01
동유럽,2021,1,9131,2021-01-01
서유럽,2021,1,26832,2021-01-01
북미-캐나다,2021,1,3560,2021-01-01
북미-미국,2021,1,18627,2021-01-01
북미-미국,2021,2,22593,2021-02-01
북미-캐나다,2021,2,5938,2021-02-01
서유럽,2021,2,19355,2021-02-01
동유럽,2021,2,11619,2021-02-01
중남미,2021,2,3278,2021-02-01
중동·아프리카,2021,2,9741,2021-02-01
아시아,2021,2,13816,2021-02-01
북미-미국,2021,3,27448,2021-03-01
북미-캐나다,2021,3,4483,2021-03-01
서유럽,2021,3,24945,2021-03-01
동유럽,2021,3,9267,2021-03-01
중남미,2021,3,5600,2021-03-01
중동·아프리카,2021,3,10102,2021-03-01
아시아,2021,3,13635,2021-03-01
북미-미국,2021,4,30943,2021-04-01
북미-캐나다,2021,4,4253,2021-04-01
아시아,2021,4,13216,2021-04-01
중동·아프리카,2021,4,10470,2021-04-01
중남미,2021,4,6172,2021-04-01
동유럽,2021,4,12511,2021-04-01
서유럽,2021,4,22834,2021-04-01
중남미,2021,5,5483,2021-05-01
동유럽,2021,5,9037,2021-05-01
서유럽,2021,5,20584,2021-05-01
북미-캐나다,2021,5,4154,2021-05-01
북미-미국,2021,5,17623,2021-05-01
아시아,2021,5,11631,2021-05-01
중동·아프리카,2021,5,8569,2021-05-01
동유럽,2021,6,11562,2021-06-01
아시아,2021,6,12461,2021-06-01
북미-캐나다,2021,6,3886,2021-06-01
중동·아프리카,2021,6,11940,2021-06-01
중남미,2021,6,7014,2021-06-01
북미-미국,2021,6,23438,2021-06-01
서유럽,2021,6,18419,2021-06-01
중동·아프리카,2021,7,14104,2021-07-01
북미-미국,2021,7,22843,2021-07-01
북미-캐나다,2021,7,2534,2021-07-01
아시아,2021,7,11903,2021-07-01
동유럽,2021,7,8003,2021-07-01
