국가,차량 모델,연도,월,판매량
중동·아프리카,Bongo,2023,1월,2
중동·아프리카,Bongo,2024,1월,2
중동·아프리카,Bongo,2025,1월,2
중동·아프리카,Bongo (CKD),2023,1월,24
중동·아프리카,Bongo (CKD),2024,1월,24
중동·아프리카,Bongo (CKD),2025,1월,24
중동·아프리카,Bongo / Frontier,2024,1월,117
중동·아프리카,Bongo / Frontier,2025,1월,117
중동·아프리카,Bongo / Frontier,2023,1월,117
중동·아프리카,Bongo / Frontier,2024,1월,189
중동·아프리카,Bongo / Frontier,2025,1월,117
중동·아프리카,Bongo / Frontier,2023,1월,185
중동·아프리카,Carens MPV,2024,1월,25
중동·아프리카,Carens MPV,2025,1월,25
중동·아프리카,Carens MPV,2023,1월,25
중동·아프리카,Carens MPV,2024,1월,48
중동·아프리카,Carens MPV,2025,1월,25
중동·아프리카,Carens MPV,2023,1월,49
중동·아프리카,Carnival / Sedona,2024,1월,12
중동·아프리카,Carnival / Sedona,2025,1월,12
중동·아프리카,Carnival / Sedona,2023,1월,12
중동·아프리카,Carnival / Sedona,2024,1월,22
중동·아프리카,Carnival / Sedona,2025,1월,24
중동·아프리카,Carnival / Sedona,2023,1월,12
중동·아프리카,Cee'd,2023,1월,12
중동·아프리카,Cee'd,2024,1월,16
중동·아프리카,Cee'd,2025,1월,4
중동·아프리카,Cee'd CUV,2023,1월,66
중동·아프리카,Cee'd CUV,2024,1월,120
중동·아프리카,Cee'd CUV,2025,1월,98
중동·아프리카,EV5,2024,1월,3
중동·아프리카,EV5,2023,1월,3
중동·아프리카,EV5,2024,1월,3
중동·아프리카,EV5,2025,1월,5
중동·아프리카,EV5,2025,1월,3
중동·아프리카,EV5,2025,1월,3
중동·아프리카,EV6,2025,1월,2
중동·아프리카,EV6,2023,1월,2
중동·아프리카,EV6,2024,1월,13
중동·아프리카,EV6,2025,1월,2
중동·아프리카,EV6,2023,1월,17
중동·아프리카,EV6,2025,1월,2
중동·아프리카,EV9,2024,1월,1
중동·아프리카,EV9,2025,1월,1
중동·아프리카,EV9,2024,1월,1
중동·아프리카,EV9,2025,1월,4
중동·아프리카,EV9,2023,1월,1
중동·아프리카,EV9,2024,1월,1
중동·아프리카,EV9,2025,1월,1
중동·아프리카,K3,2024,1월,5
중동·아프리카,K3,2025,1월,5
중동·아프리카,K3,2023,1월,5
중동·아프리카,K3,2023,1월,5
중동·아프리카,K3,2024,1월,5
중동·아프리카,K3,2025,1월,5
중동·아프리카,K3,2024,1월,104
중동·아프리카,K3,2025,1월,70
중동·아프리카,K3,2023,1월,5
중동·아프리카,K3,2023,1월,5
중동·아프리카,K3,2024,1월,5
중동·아프리카,K3,2025,1월,5
중동·아프리카,K5 / Optima,2024,1월,1
중동·아프리카,K5 / Optima,2025,1월,1
중동·아프리카,K5 / Optima,2023,1월,1
중동·아프리카,K5 / Optima,2023,1월,1
중동·아프리카,K5 / Optima,2024,1월,1
중동·아프리카,K5 / Optima,2025,1월,1
중동·아프리카,K5 / Optima,2024,1월,13
중동·아프리카,K5 / Optima,2025,1월,1
중동·아프리카,K5 / Optima,2023,1월,1
중동·아프리카,"K7,8 / Cadenza",2024,1월,36
중동·아프리카,"K7,8 / Cadenza",2025,1월,36
중동·아프리카,"K7,8 / Cadenza",2023,1월,36
중동·아프리카,KX3 / Seltos,2024,1월,7
중동·아프리카,KX3 / Seltos,2025,1월,180
중동·아프리카,Millitary (CKD),2023,1월,5
중동·아프리카,Millitary (CKD),2024,1월,5
중동·아프리카,Millitary (CKD),2025,1월,5
중동·아프리카,Morning / Picanto,2024,1월,50
중동·아프리카,Morning / Picanto,2025,1월,50
중동·아프리카,Morning / Picanto,2023,1월,104
중동·아프리카,Morning / Picanto,2024,1월,748
중동·아프리카,Morning / Picanto,2025,1월,515
중동·아프리카,Morning / Picanto,2023,1월,1073
중동·아프리카,Niro,2025,1월,9
중동·아프리카,Niro,2023,1월,9
중동·아프리카,Niro,2024,1월,34
중동·아프리카,Niro,2025,1월,72
중동·아프리카,Niro,2023,1월,18
중동·아프리카,Niro EV,2024,1월,3
중동·아프리카,Niro EV,2025,1월,3
중동·아프리카,Niro EV,2023,1월,6
중동·아프리카,Niro Plus,2024,1월,3
중동·아프리카,Niro Plus,2025,1월,3
중동·아프리카,Niro Plus,2023,1월,3
중동·아프리카,Niro Plus EV,2024,1월,1
중동·아프리카,Niro Plus EV,2025,1월,1
중동·아프리카,Niro Plus EV,2023,1월,1
중동·아프리카,Pegas,2024,1월,103
중동·아프리카,Pegas,2025,1월,103
중동·아프리카,Pegas,2023,1월,103
중동·아프리카,Pegas,2023,1월,271
중동·아프리카,Pegas,2024,1월,191
중동·아프리카,Pegas,2025,1월,103
중동·아프리카,Pride / Rio,2024,1월,2
중동·아프리카,Pride / Rio,2025,1월,2
중동·아프리카,Pride / Rio,2023,1월,512
중동·아프리카,Pride / Rio (SC),2023,1월,1
중동·아프리카,Pride / Rio (SC),2024,1월,61
중동·아프리카,Pride / Rio (SC),2025,1월,1
중동·아프리카,Seltos,2024,1월,138
중동·아프리카,Seltos,2025,1월,138
중동·아프리카,Seltos,2023,1월,138
중동·아프리카,Seltos,2023,1월,138
중동·아프리카,Seltos,2024,1월,202
중동·아프리카,Seltos,2025,1월,138
중동·아프리카,Seltos,2023,1월,441
중동·아프리카,Seltos,2024,1월,138
중동·아프리카,Seltos,2025,1월,138
중동·아프리카,Seltos,2023,1월,138
중동·아프리카,Sonet,2024,1월,45
중동·아프리카,Sonet,2025,1월,45
중동·아프리카,Sonet,2023,1월,45
중동·아프리카,Sonet,2023,1월,45
중동·아프리카,Sonet,2024,1월,45
중동·아프리카,Sonet,2025,1월,45
중동·아프리카,Sonet,2024,1월,534
중동·아프리카,Sonet,2025,1월,919
중동·아프리카,Sonet,2023,1월,353
중동·아프리카,Sorento,2024,1월,24
중동·아프리카,Sorento,2025,1월,24
중동·아프리카,Sorento,2023,1월,97
중동·아프리카,Sorento,2024,1월,40
중동·아프리카,Sorento,2025,1월,62
중동·아프리카,Sorento,2023,1월,67
중동·아프리카,Sorento,2023,1월,24
중동·아프리카,Sorento,2024,1월,24
중동·아프리카,Sorento,2025,1월,24
중동·아프리카,Soul,2024,1월,1
중동·아프리카,Soul,2025,1월,1
중동·아프리카,Soul,2024,1월,1
중동·아프리카,Soul,2025,1월,1
중동·아프리카,Soul,2023,1월,1
중동·아프리카,Sportage,2024,1월,116
중동·아프리카,Sportage,2025,1월,116
중동·아프리카,Sportage,2023,1월,345
중동·아프리카,Sportage,2025,1월,116
중동·아프리카,Sportage,2024,1월,116
중동·아프리카,Sportage,2025,1월,116
중동·아프리카,Sportage,2023,1월,116
중동·아프리카,Sportage,2023,1월,456
중동·아프리카,Sportage,2024,1월,616
중동·아프리카,Sportage,2025,1월,780
중동·아프리카,Sportage,2023,1월,116
중동·아프리카,Sportage,2024,1월,116
중동·아프리카,Sportage,2025,1월,116
중동·아프리카,Stinger,2024,1월,13
중동·아프리카,Stinger,2025,1월,13
중동·아프리카,Stinger,2023,1월,13
중동·아프리카,Stonic,2024,1월,19
중동·아프리카,Stonic,2025,1월,19
중동·아프리카,Stonic,2023,1월,134
중동·아프리카,Stonic,2024,1월,115
중동·아프리카,Stonic,2025,1월,129
중동·아프리카,Stonic,2023,1월,97
중동·아프리카,Telluride,2023,1월,49
중동·아프리카,Telluride,2024,1월,49
중동·아프리카,Telluride,2025,1월,49
아시아-기타,Bongo,2023,1월,2
아시아-기타,Bongo,2024,1월,3
아시아-기타,Bongo,2025,1월,2
아시아-기타,Bongo / Frontier,2024,1월,502
아시아-기타,Bongo / Frontier,2025,1월,361
아시아-기타,Bongo / Frontier,2023,1월,137
아시아-기타,Bongo / Frontier,2024,1월,145
아시아-기타,Bongo / Frontier,2025,1월,137
아시아-기타,Bongo / Frontier,2023,1월,163
아시아-기타,Bus (CKD),2023,1월,26
아시아-기타,Bus (CKD),2024,1월,26
아시아-기타,Bus (CKD),2025,1월,48
아시아-기타,Carens MPV,2024,1월,6
아시아-기타,Carens MPV,2025,1월,213
아시아-기타,Carens MPV,2023,1월,6
아시아-기타,Carens MPV,2024,1월,51
아시아-기타,Carens MPV,2025,1월,21
아시아-기타,Carens MPV,2023,1월,54
아시아-기타,Carnival / Sedona,2024,1월,568
아시아-기타,Carnival / Sedona,2025,1월,433
아시아-기타,Carnival / Sedona,2023,1월,433
아시아-기타,Carnival / Sedona,2024,1월,915
아시아-기타,Carnival / Sedona,2025,1월,870
아시아-기타,Carnival / Sedona,2023,1월,1660
아시아-기타,Cee'd,2023,1월,15
아시아-기타,Cee'd,2024,1월,15
아시아-기타,Cee'd,2025,1월,15
아시아-기타,EV5,2024,1월,362
아시아-기타,EV5,2023,1월,362
아시아-기타,EV5,2024,1월,362
아시아-기타,EV5,2025,1월,362
아시아-기타,EV5,2025,1월,362
아시아-기타,EV5,2025,1월,362
아시아-기타,EV6,2025,1월,77
아시아-기타,EV6,2023,1월,77
아시아-기타,EV6,2024,1월,280
아시아-기타,EV6,2025,1월,77
아시아-기타,EV6,2023,1월,320
아시아-기타,EV6,2025,1월,77
아시아-기타,EV9,2024,1월,4
아시아-기타,EV9,2025,1월,4
아시아-기타,EV9,2024,1월,151
아시아-기타,EV9,2025,1월,47
아시아-기타,EV9,2023,1월,4
아시아-기타,EV9,2024,1월,4
아시아-기타,EV9,2025,1월,4
아시아-기타,K3,2024,1월,44
아시아-기타,K3,2025,1월,128
아시아-기타,K3,2023,1월,17
아시아-기타,K3,2023,1월,17
아시아-기타,K3,2024,1월,17
아시아-기타,K3,2025,1월,17
아시아-기타,K3,2024,1월,1030
아시아-기타,K3,2025,1월,409
아시아-기타,K3,2023,1월,333
아시아-기타,K3,2023,1월,17
아시아-기타,K3,2024,1월,17
아시아-기타,K3,2025,1월,17
아시아-기타,K5 / Optima,2024,1월,2
아시아-기타,K5 / Optima,2025,1월,8
아시아-기타,K5 / Optima,2023,1월,2
아시아-기타,K5 / Optima,2023,1월,2
아시아-기타,K5 / Optima,2024,1월,2
아시아-기타,K5 / Optima,2025,1월,2
아시아-기타,K5 / Optima,2024,1월,2
아시아-기타,K5 / Optima,2025,1월,2
아시아-기타,K5 / Optima,2023,1월,3
아시아-기타,KX1,2023,1월,194
아시아-기타,KX1,2024,1월,141
아시아-기타,KX1,2025,1월,2
아시아-기타,KX3 / Seltos,2024,1월,61
아시아-기타,KX3 / Seltos,2025,1월,74
아시아-기타,Morning / Picanto,2024,1월,1
아시아-기타,Morning / Picanto,2025,1월,33
아시아-기타,Morning / Picanto,2023,1월,1
아시아-기타,Morning / Picanto,2024,1월,315
아시아-기타,Morning / Picanto,2025,1월,685
아시아-기타,Morning / Picanto,2023,1월,459
아시아-기타,Niro,2025,1월,121
아시아-기타,Niro,2023,1월,121
아시아-기타,Niro,2024,1월,158
아시아-기타,Niro,2025,1월,121
아시아-기타,Niro,2023,1월,148
아시아-기타,Niro EV,2024,1월,60
아시아-기타,Niro EV,2025,1월,16
아시아-기타,Niro EV,2023,1월,95
아시아-기타,Niro Plus,2024,1월,1
아시아-기타,Niro Plus,2025,1월,1
아시아-기타,Niro Plus,2023,1월,111
아시아-기타,Niro Plus EV,2024,1월,1
아시아-기타,Niro Plus EV,2025,1월,1
아시아-기타,Niro Plus EV,2023,1월,39
아시아-기타,Pegas,2024,1월,48
아시아-기타,Pegas,2025,1월,18
아시아-기타,Pegas,2023,1월,18
아시아-기타,Pegas,2023,1월,124
아시아-기타,Pegas,2024,1월,155
아시아-기타,Pegas,2025,1월,122
아시아-기타,Pride / Rio,2024,1월,1
아시아-기타,Pride / Rio,2025,1월,1
아시아-기타,Pride / Rio,2023,1월,608
아시아-기타,Pride / Rio (SC),2023,1월,9
아시아-기타,Pride / Rio (SC),2024,1월,9
아시아-기타,Pride / Rio (SC),2025,1월,9
아시아-기타,Seltos,2024,1월,563
아시아-기타,Seltos,2025,1월,439
아시아-기타,Seltos,2023,1월,80
아시아-기타,Seltos,2023,1월,80
아시아-기타,Seltos,2024,1월,80
아시아-기타,Seltos,2025,1월,106
아시아-기타,Seltos,2023,1월,114
아시아-기타,Seltos,2024,1월,992
아시아-기타,Seltos,2025,1월,825
아시아-기타,Seltos,2023,1월,620
아시아-기타,Sonet,2024,1월,530
아시아-기타,Sonet,2025,1월,413
아시아-기타,Sonet,2023,1월,86
아시아-기타,Sonet,2023,1월,86
