국가,차량 모델,연도,월,판매량,날짜,브랜드,카테고리
북미-미국,Accent,2023,10,1,2023-10-01,현대,세단
북미-미국,Accent,2023,11,1,2023-11-01,현대,세단
북미-미국,Accent,2023,12,1,2023-12-01,현대,세단
북미-미국,Accent,2023,1,16,2023-01-01,현대,세단
북미-미국,Accent,2023,2,12,2023-02-01,현대,세단
북미-미국,Accent,2023,3,2,2023-03-01,현대,세단
북미-미국,Accent,2023,4,1,2023-04-01,현대,세단
북미-미국,Accent,2023,5,1,2023-05-01,현대,세단
북미-미국,Accent,2023,6,1,2023-06-01,현대,세단
북미-미국,Accent,2023,7,1,2023-07-01,현대,세단
북미-미국,Accent,2023,8,1,2023-08-01,현대,세단
북미-미국,Accent,2023,9,1,2023-09-01,현대,세단
북미-미국,Accent,2024,10,1,2024-10-01,현대,세단
북미-미국,Accent,2024,11,1,2024-11-01,현대,세단
북미-미국,Accent,2024,12,1,2024-12-01,현대,세단
북미-미국,Accent,2024,1,1,2024-01-01,현대,세단
북미-미국,Accent,2024,2,1,2024-02-01,현대,세단
북미-미국,Accent,2024,3,1,2024-03-01,현대,세단
북미-미국,Accent,2024,4,1,2024-04-01,현대,세단
북미-미국,Accent,2024,5,1,2024-05-01,현대,세단
북미-미국,Accent,2024,6,1,2024-06-01,현대,세단
북미-미국,Accent,2024,7,1,2024-07-01,현대,세단
북미-미국,Accent,2024,8,1,2024-08-01,현대,세단
북미-미국,Accent,2024,9,1,2024-09-01,현대,세단
북미-미국,Accent,2025,1,1,2025-01-01,현대,세단
북미-미국,Elantra,2023,10,9456,2023-10-01,현대,세단
북미-미국,Elantra,2023,11,8813,2023-11-01,현대,세단
북미-미국,Elantra,2023,12,8577,2023-12-01,현대,세단
북미-미국,Elantra,2023,1,8655,2023-01-01,현대,세단
북미-미국,Elantra,2023,2,10371,2023-02-01,현대,세단
북미-미국,Elantra,2023,3,13447,2023-03-01,현대,세단
북미-미국,Elantra,2023,4,13236,2023-04-01,현대,세단
북미-미국,Elantra,2023,5,15605,2023-05-01,현대,세단
북미-미국,Elantra,2023,6,13424,2023-06-01,현대,세단
북미-미국,Elantra,2023,7,11898,2023-07-01,현대,세단
북미-미국,Elantra,2023,8,11262,2023-08-01,현대,세단
북미-미국,Elantra,2023,9,9405,2023-09-01,현대,세단
북미-미국,Elantra,2024,10,12151,2024-10-01,현대,세단
북미-미국,Elantra,2024,11,11344,2024-11-01,현대,세단
북미-미국,Elantra,2024,12,11585,2024-12-01,현대,세단
북미-미국,Elantra,2024,1,6900,2024-01-01,현대,세단
북미-미국,Elantra,2024,2,8432,2024-02-01,현대,세단
북미-미국,Elantra,2024,3,11528,2024-03-01,현대,세단
북미-미국,Elantra,2024,4,10102,2024-04-01,현대,세단
북미-미국,Elantra,2024,5,13311,2024-05-01,현대,세단
북미-미국,Elantra,2024,6,12016,2024-06-01,현대,세단
북미-미국,Elantra,2024,7,13764,2024-07-01,현대,세단
북미-미국,Elantra,2024,8,14379,2024-08-01,현대,세단
