국가,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
U.S.A.,30094,30072,36663,38730,39607,33930,50201,36086,48243,44667,52477,49566,2022
Canada,8555,7274,8626,10174,8580,7663,7054,7816,7762,8790,6792,9368,2022
Mexico,0,11,91,0,20,0,0,50,49,51,0,139,2022
Europe Subsidiaries,7613,9077,9467,10153,10657,6984,9869,8955,8447,9301,7916,14195,2022
Europe Distributors,2969,2196,892,1283,1575,1262,1495,1728,3405,2826,2400,2825,2022
Turkey,77,583,599,677,411,699,206,626,332,899,263,718,2022
Latin America,4224,4021,3300,5151,4856,5064,4168,3502,4006,4549,4988,5012,2022
Russia/CIS,4433,2481,1833,2518,3247,3031,4154,2814,2421,2379,2855,2903,2022
Middle East/Africa,8079,8620,7592,8443,7916,9516,10185,6011,8193,8281,9549,12857,2022
Asia/Pacific,7921,8101,7615,10906,9953,8908,7855,7611,7533,8788,9401,6811,2022
U.S.A.,33889,23117,35001,37500,25180,29863,29403,24757,26230,33042,34150,33948,2021
Canada,10943,7551,12820,10299,6771,6254,8516,5329,6444,6737,9321,9096,2021
Mexico,2,1,0,32,30,0,0,0,0,0,0,0,2021
Western Europe,11099,10883,12861,12232,8832,11368,11456,9241,9979,12026,9354,11251,2021
Eastern Europe,3899,4925,4581,6067,6080,6337,5491,4857,4673,4756,5846,9219,2021
Turkey,241,173,1336,711,407,850,325,301,793,951,485,734,2021
Latin America,2925,1538,4201,4264,4142,4857,4451,3423,3821,5284,4180,4385,2021
Middle East/Africa,8907,7311,7569,6248,6125,6688,8562,7010,8855,12930,11869,15084,2021
Asia/Pacific,7565,8895,9135,6783,7057,7235,9905,7238,8199,8713,6916,6934,2021
