국가,연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
동유럽,2021,4140,5098,5917,6778,6487,7187,5816,5158,5466,5707,6331,9953
동유럽,2022,4510,3064,2432,3195,3658,3730,4360,3440,2753,3278,3118,3621
북미-멕시코,2021,2,1,0,32,30,0,0,0,0,0,0,0
북미-멕시코,2022,0,11,91,0,20,0,0,50,49,51,0,139
북미-미국,2021,33889,23117,35001,37500,25180,29863,29403,24757,26230,33042,34150,33948
북미-미국,2022,30094,30072,36663,38730,39607,33930,50201,36086,48243,44667,52477,49566
북미-캐나다,2021,10943,7551,12820,10299,6771,6254,8516,5329,6444,6737,9321,9096
북미-캐나다,2022,8555,7274,8626,10174,8580,7663,7054,7816,7762,8790,6792,9368
서유럽,2021,11099,10883,12861,12232,8832,11368,11456,9241,9979,12026,9354,11251
서유럽,2022,10582,11273,10359,11436,12232,8246,11364,10683,11852,12127,10316,17020
아시아,2021,7565,8895,9135,6783,7057,7235,9905,7238,8199,8713,6916,6934
아시아,2022,7921,8101,7615,10906,9953,8908,7855,7611,7533,8788,9401,6811
중남미,2021,2925,1538,4201,4264,4142,4857,4451,3423,3821,5284,4180,4385
중남미,2022,4224,4021,3300,5151,4856,5064,4168,3502,4006,4549,4988,5012
중동·아프리카,2021,8907,7311,7569,6248,6125,6688,8562,7010,8855,12930,11869,15084
중동·아프리카,2022,8079,8620,7592,8443,7916,9516,10185,6011,8193,8281,9549,12857
