국가,차량 모델,연도,월,판매량
아시아-인도, Santro (AH2),2023,1월,0
아시아-인도, Xcent (BA 4DR),2023,1월,0
아시아-인도, Aura (AI3 4DR),2023,1월,4634
아시아-인도, NIOS (AI3 5DR),2023,1월,8760
아시아-인도, i20 (BI3 5DR),2023,1월,8185
아시아-인도, Verna (Hci),2023,1월,995
아시아-인도, Verna (BN7i),2023,1월,0
아시아-인도,Exter (AI3 SUV),2023,1월,0
아시아-인도, Venue (QXi),2023,1월,10738
아시아-인도, Creta (SU2i),2023,1월,15037
아시아-인도, Creta (SU2i LWB),2023,1월,1537
아시아-인도, Kona EV (OSi EV),2023,1월,40
아시아-인도,IONIQ5 (NEi),2023,1월,0
아시아-인도, Tucson (TLi),2023,1월,0
아시아-인도, Tucson (NX4i),2023,1월,180
아시아-중국,i10 (AC3),2023,1월,70
아시아-중국,i20 (BC3),2023,1월,2422
아시아-중국,Bayon (BC3 CUV),2023,1월,985
아시아-중국,i20 N (BC3 N),2023,1월,21
아시아-중국, Reina (CB),2023,1월,0
아시아-중국, Verna (YC),2023,1월,0
아시아-중국, Celesta (ID),2023,1월,764
아시아-중국, Elantra (CN7c),2023,1월,5212
아시아-중국, La festa (SQ),2023,1월,398
아시아-중국, La festa EV (SQ EV),2023,1월,0
아시아-중국, Mistra (DU2),2023,1월,8
아시아-중국, Mistra EV (DU2 EV),2023,1월,0
아시아-중국, Sonata (DN8c),2023,1월,165
아시아-중국, Custo (KU),2023,1월,447
아시아-중국, ix25 (SU2),2023,1월,0
아시아-중국, Tucson (NX4c),2023,1월,3874
아시아-중국, Tucson HEV (NX4c HEV),2023,1월,58
아시아-중국, ix35 (NU),2023,1월,4031
아시아-중국, ix35 (NU2),2023,1월,0
아시아-중국, Santa Fe (TMc),2023,1월,71
북미-미국,Elantra (CN7a),2023,1월,1781
북미-미국,Sonata (DN8a),2023,1월,0
북미-미국,Tucson (NX4a),2023,1월,10069
북미-미국,Tucson OB (NX4a OB),2023,1월,3165
북미-미국,Santa-Fe (TMa),2023,1월,7274
북미-미국,Santa-Fe HEV (TMa HEV),2023,1월,1417
북미-미국,GV70 (JKa),2023,1월,0
북미-미국,GV70 EV (Jka EV),2023,1월,0
동유럽,Solaris (HCr),2023,1월,0
동유럽,Creta (SU2r),2023,1월,0
동유럽,Kia Rio(FB),2023,1월,0
중남미,HB20 (BR2),2023,1월,4221
중남미,Creta (GSb),2023,1월,1019
중남미,Creta (SU2b),2023,1월,3886
아시아-기타,Stargazer (KS),2023,1월,994
아시아-기타,IONIQ5 (NE),2023,1월,242
아시아-기타,Santa-Fe (TMid),2023,1월,154
아시아-기타,Creta (SU2id),2023,1월,610
아시아-중국,HTBC,2023,1월,60
동유럽,CV,2023,1월,0
아시아-기타,i10(AI3v 4DR),2023,1월,198
아시아-기타,i10(AI3v 5DR),2023,1월,361
아시아-기타,Accent (HCv),2023,1월,891
아시아-기타,Elantra (ADv),2023,1월,0
아시아-기타,Elantra (CN7v),2023,1월,57
아시아-기타,Kona (OSv),2023,1월,0
아시아-기타,Creta (SU2v),2023,1월,0
